class_id,label,number_of_videos,number_of_signers,selected,reason_if_excluded
wood,wood,5,unavailable,False,only 5 usable videos (< 15)
work,work,5,unavailable,False,only 5 usable videos (< 15)
drug,drug,5,unavailable,False,only 5 usable videos (< 15)
east,east,5,unavailable,False,only 5 usable videos (< 15)
blouse,blouse,5,unavailable,False,only 5 usable videos (< 15)
weak,weak,5,unavailable,False,only 5 usable videos (< 15)
same,same,5,unavailable,False,only 5 usable videos (< 15)
round,round,4,unavailable,False,only 4 usable videos (< 15)
wife,wife,4,unavailable,False,only 4 usable videos (< 15)
engine,engine,4,unavailable,False,only 4 usable videos (< 15)
brother,brother,4,unavailable,False,only 4 usable videos (< 15)
why,why,4,unavailable,False,only 4 usable videos (< 15)
silver,silver,4,unavailable,False,only 4 usable videos (< 15)
similar,similar,4,unavailable,False,only 4 usable videos (< 15)
process,process,4,unavailable,False,only 4 usable videos (< 15)
profit,profit,4,unavailable,False,only 4 usable videos (< 15)
promise,promise,4,unavailable,False,only 4 usable videos (< 15)
shine,shine,4,unavailable,False,only 4 usable videos (< 15)
guilty,guilty,4,unavailable,False,only 4 usable videos (< 15)
black,black,4,unavailable,False,only 4 usable videos (< 15)
put,put,4,unavailable,False,only 4 usable videos (< 15)
drawer,drawer,4,unavailable,False,only 4 usable videos (< 15)
hanuman,hanuman,4,unavailable,False,only 4 usable videos (< 15)
wait,wait,4,unavailable,False,only 4 usable videos (< 15)
shawl,shawl,4,unavailable,False,only 4 usable videos (< 15)
blue,blue,4,unavailable,False,only 4 usable videos (< 15)
blood pressure,blood pressure,4,unavailable,False,only 4 usable videos (< 15)
share,share,4,unavailable,False,only 4 usable videos (< 15)
separate,separate,4,unavailable,False,only 4 usable videos (< 15)
carpenter,carpenter,4,unavailable,False,only 4 usable videos (< 15)
radio,radio,4,unavailable,False,only 4 usable videos (< 15)
aeroplane,aeroplane,4,unavailable,False,only 4 usable videos (< 15)
sheep,sheep,4,unavailable,False,only 4 usable videos (< 15)
quantity,quantity,4,unavailable,False,only 4 usable videos (< 15)
water,water,4,unavailable,False,only 4 usable videos (< 15)
remove,remove,4,unavailable,False,only 4 usable videos (< 15)
reception,reception,4,unavailable,False,only 4 usable videos (< 15)
can,can,4,unavailable,False,only 4 usable videos (< 15)
record,record,4,unavailable,False,only 4 usable videos (< 15)
red,red,4,unavailable,False,only 4 usable videos (< 15)
reduce,reduce,4,unavailable,False,only 4 usable videos (< 15)
call,call,4,unavailable,False,only 4 usable videos (< 15)
gold,gold,4,unavailable,False,only 4 usable videos (< 15)
green,green,4,unavailable,False,only 4 usable videos (< 15)
seed,seed,4,unavailable,False,only 4 usable videos (< 15)
see,see,4,unavailable,False,only 4 usable videos (< 15)
repair,repair,4,unavailable,False,only 4 usable videos (< 15)
bowl,bowl,4,unavailable,False,only 4 usable videos (< 15)
watch,watch,4,unavailable,False,only 4 usable videos (< 15)
glass,glass,4,unavailable,False,only 4 usable videos (< 15)
weight,weight,4,unavailable,False,only 4 usable videos (< 15)
scratch,scratch,4,unavailable,False,only 4 usable videos (< 15)
welder,welder,4,unavailable,False,only 4 usable videos (< 15)
gloves,gloves,4,unavailable,False,only 4 usable videos (< 15)
waterfall,waterfall,4,unavailable,False,only 4 usable videos (< 15)
result,result,4,unavailable,False,only 4 usable videos (< 15)
elephant,elephant,4,unavailable,False,only 4 usable videos (< 15)
eclipse,eclipse,4,unavailable,False,only 4 usable videos (< 15)
sari,sari,4,unavailable,False,only 4 usable videos (< 15)
sandwich,sandwich,4,unavailable,False,only 4 usable videos (< 15)
gas stove,gas stove,4,unavailable,False,only 4 usable videos (< 15)
wedding,wedding,4,unavailable,False,only 4 usable videos (< 15)
false,false,4,unavailable,False,only 4 usable videos (< 15)
brown,brown,4,unavailable,False,only 4 usable videos (< 15)
allow,allow,4,unavailable,False,only 4 usable videos (< 15)
pig,pig,4,unavailable,False,only 4 usable videos (< 15)
pillow,pillow,4,unavailable,False,only 4 usable videos (< 15)
cholera,cholera,4,unavailable,False,only 4 usable videos (< 15)
sorry,sorry,4,unavailable,False,only 4 usable videos (< 15)
chennai,chennai,4,unavailable,False,only 4 usable videos (< 15)
donkey,donkey,4,unavailable,False,only 4 usable videos (< 15)
diwali,diwali,4,unavailable,False,only 4 usable videos (< 15)
dog,dog,4,unavailable,False,only 4 usable videos (< 15)
cheque,cheque,4,unavailable,False,only 4 usable videos (< 15)
chappels,chappels,4,unavailable,False,only 4 usable videos (< 15)
silk,silk,4,unavailable,False,only 4 usable videos (< 15)
start,start,4,unavailable,False,only 4 usable videos (< 15)
coconut,coconut,4,unavailable,False,only 4 usable videos (< 15)
pakistan,pakistan,4,unavailable,False,only 4 usable videos (< 15)
paint,paint,4,unavailable,False,only 4 usable videos (< 15)
sphere,sphere,4,unavailable,False,only 4 usable videos (< 15)
tripura,tripura,4,unavailable,False,only 4 usable videos (< 15)
pass,pass,4,unavailable,False,only 4 usable videos (< 15)
key,key,4,unavailable,False,only 4 usable videos (< 15)
tree,tree,4,unavailable,False,only 4 usable videos (< 15)
try,try,4,unavailable,False,only 4 usable videos (< 15)
trust,trust,4,unavailable,False,only 4 usable videos (< 15)
behind,behind,4,unavailable,False,only 4 usable videos (< 15)
peon,peon,4,unavailable,False,only 4 usable videos (< 15)
permanent,permanent,4,unavailable,False,only 4 usable videos (< 15)
animals,animals,4,unavailable,False,only 4 usable videos (< 15)
peacock,peacock,4,unavailable,False,only 4 usable videos (< 15)
poision,poision,4,unavailable,False,only 4 usable videos (< 15)
sit,sit,4,unavailable,False,only 4 usable videos (< 15)
size,size,4,unavailable,False,only 4 usable videos (< 15)
hardworking,hardworking,4,unavailable,False,only 4 usable videos (< 15)
smell,smell,4,unavailable,False,only 4 usable videos (< 15)
amazon,amazon,4,unavailable,False,only 4 usable videos (< 15)
bharatiya janata party,bharatiya janata party,4,unavailable,False,only 4 usable videos (< 15)
plate,plate,4,unavailable,False,only 4 usable videos (< 15)
insult,insult,4,unavailable,False,only 4 usable videos (< 15)
umbrella,umbrella,4,unavailable,False,only 4 usable videos (< 15)
husband,husband,4,unavailable,False,only 4 usable videos (< 15)
sweater,sweater,4,unavailable,False,only 4 usable videos (< 15)
swallow,swallow,4,unavailable,False,only 4 usable videos (< 15)
old,old,4,unavailable,False,only 4 usable videos (< 15)
official,official,4,unavailable,False,only 4 usable videos (< 15)
online,online,4,unavailable,False,only 4 usable videos (< 15)
monkey,monkey,4,unavailable,False,only 4 usable videos (< 15)
morning,morning,4,unavailable,False,only 4 usable videos (< 15)
train,train,4,unavailable,False,only 4 usable videos (< 15)
suspect,suspect,4,unavailable,False,only 4 usable videos (< 15)
nervous,nervous,4,unavailable,False,only 4 usable videos (< 15)
night,night,4,unavailable,False,only 4 usable videos (< 15)
deer,deer,4,unavailable,False,only 4 usable videos (< 15)
learn,learn,4,unavailable,False,only 4 usable videos (< 15)
ladder,ladder,4,unavailable,False,only 4 usable videos (< 15)
october,october,4,unavailable,False,only 4 usable videos (< 15)
trunk,trunk,4,unavailable,False,only 4 usable videos (< 15)
kurta,kurta,4,unavailable,False,only 4 usable videos (< 15)
true,true,4,unavailable,False,only 4 usable videos (< 15)
trouble,trouble,4,unavailable,False,only 4 usable videos (< 15)
australia,australia,4,unavailable,False,only 4 usable videos (< 15)
mistake,mistake,4,unavailable,False,only 4 usable videos (< 15)
magnet,magnet,4,unavailable,False,only 4 usable videos (< 15)
thermometer,thermometer,4,unavailable,False,only 4 usable videos (< 15)
mechanic,mechanic,4,unavailable,False,only 4 usable videos (< 15)
melt,melt,4,unavailable,False,only 4 usable videos (< 15)
temperature,temperature,4,unavailable,False,only 4 usable videos (< 15)
mixer,mixer,4,unavailable,False,only 4 usable videos (< 15)
taste,taste,4,unavailable,False,only 4 usable videos (< 15)
run,run,4,unavailable,False,only 4 usable videos (< 15)
frog,frog,4,unavailable,False,only 4 usable videos (< 15)
earth,earth,4,unavailable,False,only 4 usable videos (< 15)
magic,magic,4,unavailable,False,only 4 usable videos (< 15)
explain,explain,4,unavailable,False,only 4 usable videos (< 15)
expensive,expensive,4,unavailable,False,only 4 usable videos (< 15)
experiment,experiment,4,unavailable,False,only 4 usable videos (< 15)
zoo,zoo,4,unavailable,False,only 4 usable videos (< 15)
escape,escape,4,unavailable,False,only 4 usable videos (< 15)
yesterday,yesterday,3,unavailable,False,only 3 usable videos (< 15)
without,without,3,unavailable,False,only 3 usable videos (< 15)
wolf,wolf,3,unavailable,False,only 3 usable videos (< 15)
woman,woman,3,unavailable,False,only 3 usable videos (< 15)
wool,wool,3,unavailable,False,only 3 usable videos (< 15)
enemy,enemy,3,unavailable,False,only 3 usable videos (< 15)
fine,fine,3,unavailable,False,only 3 usable videos (< 15)
absent,absent,3,unavailable,False,only 3 usable videos (< 15)
scent,scent,3,unavailable,False,only 3 usable videos (< 15)
bread,bread,3,unavailable,False,only 3 usable videos (< 15)
website,website,3,unavailable,False,only 3 usable videos (< 15)
gate,gate,3,unavailable,False,only 3 usable videos (< 15)
eat,eat,3,unavailable,False,only 3 usable videos (< 15)
earthquake,earthquake,3,unavailable,False,only 3 usable videos (< 15)
your,your,3,unavailable,False,only 3 usable videos (< 15)
you,you,3,unavailable,False,only 3 usable videos (< 15)
wrong,wrong,3,unavailable,False,only 3 usable videos (< 15)
wrestling,wrestling,3,unavailable,False,only 3 usable videos (< 15)
wound,wound,3,unavailable,False,only 3 usable videos (< 15)
sand,sand,3,unavailable,False,only 3 usable videos (< 15)
rest,rest,3,unavailable,False,only 3 usable videos (< 15)
busy,busy,3,unavailable,False,only 3 usable videos (< 15)
business,business,3,unavailable,False,only 3 usable videos (< 15)
bus,bus,3,unavailable,False,only 3 usable videos (< 15)
message,message,3,unavailable,False,only 3 usable videos (< 15)
meat,meat,3,unavailable,False,only 3 usable videos (< 15)
measure,measure,3,unavailable,False,only 3 usable videos (< 15)
maximum,maximum,3,unavailable,False,only 3 usable videos (< 15)
manipur,manipur,3,unavailable,False,only 3 usable videos (< 15)
man,man,3,unavailable,False,only 3 usable videos (< 15)
make a long story short,make a long story short,3,unavailable,False,only 3 usable videos (< 15)
throat,throat,3,unavailable,False,only 3 usable videos (< 15)
this,this,3,unavailable,False,only 3 usable videos (< 15)
think,think,3,unavailable,False,only 3 usable videos (< 15)
things,things,3,unavailable,False,only 3 usable videos (< 15)
maha shivaratri,maha shivaratri,3,unavailable,False,only 3 usable videos (< 15)
cylinder,cylinder,3,unavailable,False,only 3 usable videos (< 15)
cut,cut,3,unavailable,False,only 3 usable videos (< 15)
lorry,lorry,3,unavailable,False,only 3 usable videos (< 15)
lock,lock,3,unavailable,False,only 3 usable videos (< 15)
cream,cream,3,unavailable,False,only 3 usable videos (< 15)
mile,mile,3,unavailable,False,only 3 usable videos (< 15)
temporary,temporary,3,unavailable,False,only 3 usable videos (< 15)
day after,day after,3,unavailable,False,only 3 usable videos (< 15)
litre,litre,3,unavailable,False,only 3 usable videos (< 15)
listen,listen,3,unavailable,False,only 3 usable videos (< 15)
list,list,3,unavailable,False,only 3 usable videos (< 15)
lion,lion,3,unavailable,False,only 3 usable videos (< 15)
license,license,3,unavailable,False,only 3 usable videos (< 15)
december,december,3,unavailable,False,only 3 usable videos (< 15)
level,level,3,unavailable,False,only 3 usable videos (< 15)
toothbrush,toothbrush,3,unavailable,False,only 3 usable videos (< 15)
arunachal pradesh,arunachal pradesh,3,unavailable,False,only 3 usable videos (< 15)
around,around,3,unavailable,False,only 3 usable videos (< 15)
arm,arm,3,unavailable,False,only 3 usable videos (< 15)
television,television,3,unavailable,False,only 3 usable videos (< 15)
table,table,3,unavailable,False,only 3 usable videos (< 15)
muslim,muslim,3,unavailable,False,only 3 usable videos (< 15)
murder,murder,3,unavailable,False,only 3 usable videos (< 15)
mouth,mouth,3,unavailable,False,only 3 usable videos (< 15)
mountain,mountain,3,unavailable,False,only 3 usable videos (< 15)
motorcycle,motorcycle,3,unavailable,False,only 3 usable videos (< 15)
corn,corn,3,unavailable,False,only 3 usable videos (< 15)
copy,copy,3,unavailable,False,only 3 usable videos (< 15)
cook,cook,3,unavailable,False,only 3 usable videos (< 15)
teach,teach,3,unavailable,False,only 3 usable videos (< 15)
back,back,3,unavailable,False,only 3 usable videos (< 15)
mobile,mobile,3,unavailable,False,only 3 usable videos (< 15)
mizoram,mizoram,3,unavailable,False,only 3 usable videos (< 15)
cough,cough,3,unavailable,False,only 3 usable videos (< 15)
mirror,mirror,3,unavailable,False,only 3 usable videos (< 15)
minimum,minimum,3,unavailable,False,only 3 usable videos (< 15)
conference,conference,3,unavailable,False,only 3 usable videos (< 15)
cone,cone,3,unavailable,False,only 3 usable videos (< 15)
national anthem,national anthem,3,unavailable,False,only 3 usable videos (< 15)
tonic,tonic,3,unavailable,False,only 3 usable videos (< 15)
tongue,tongue,3,unavailable,False,only 3 usable videos (< 15)
tongs,tongs,3,unavailable,False,only 3 usable videos (< 15)
tomorrow,tomorrow,3,unavailable,False,only 3 usable videos (< 15)
toilet,toilet,3,unavailable,False,only 3 usable videos (< 15)
degree,degree,3,unavailable,False,only 3 usable videos (< 15)
decrease,decrease,3,unavailable,False,only 3 usable videos (< 15)
decide,decide,3,unavailable,False,only 3 usable videos (< 15)
leave,leave,3,unavailable,False,only 3 usable videos (< 15)
lawyer,lawyer,3,unavailable,False,only 3 usable videos (< 15)
law,law,3,unavailable,False,only 3 usable videos (< 15)
tamil,tamil,3,unavailable,False,only 3 usable videos (< 15)
talk,talk,3,unavailable,False,only 3 usable videos (< 15)
nothing,nothing,3,unavailable,False,only 3 usable videos (< 15)
nose,nose,3,unavailable,False,only 3 usable videos (< 15)
north pole,north pole,3,unavailable,False,only 3 usable videos (< 15)
north,north,3,unavailable,False,only 3 usable videos (< 15)
noon,noon,3,unavailable,False,only 3 usable videos (< 15)
switch,switch,3,unavailable,False,only 3 usable videos (< 15)
swing,swing,3,unavailable,False,only 3 usable videos (< 15)
balloon,balloon,3,unavailable,False,only 3 usable videos (< 15)
sweet,sweet,3,unavailable,False,only 3 usable videos (< 15)
sweat,sweat,3,unavailable,False,only 3 usable videos (< 15)
never,never,3,unavailable,False,only 3 usable videos (< 15)
network,network,3,unavailable,False,only 3 usable videos (< 15)
nepal,nepal,3,unavailable,False,only 3 usable videos (< 15)
neighbour,neighbour,3,unavailable,False,only 3 usable videos (< 15)
necklace,necklace,3,unavailable,False,only 3 usable videos (< 15)
neck,neck,3,unavailable,False,only 3 usable videos (< 15)
oath,oath,3,unavailable,False,only 3 usable videos (< 15)
november,november,3,unavailable,False,only 3 usable videos (< 15)
sunset,sunset,3,unavailable,False,only 3 usable videos (< 15)
april,april,3,unavailable,False,only 3 usable videos (< 15)
appointment,appointment,3,unavailable,False,only 3 usable videos (< 15)
tractor,tractor,3,unavailable,False,only 3 usable videos (< 15)
town,town,3,unavailable,False,only 3 usable videos (< 15)
torch,torch,3,unavailable,False,only 3 usable videos (< 15)
late,late,3,unavailable,False,only 3 usable videos (< 15)
lassi,lassi,3,unavailable,False,only 3 usable videos (< 15)
lake,lake,3,unavailable,False,only 3 usable videos (< 15)
sunrise,sunrise,3,unavailable,False,only 3 usable videos (< 15)
sunflower,sunflower,3,unavailable,False,only 3 usable videos (< 15)
sun,sun,3,unavailable,False,only 3 usable videos (< 15)
sugar,sugar,3,unavailable,False,only 3 usable videos (< 15)
notify,notify,3,unavailable,False,only 3 usable videos (< 15)
cobbler,cobbler,3,unavailable,False,only 3 usable videos (< 15)
coat,coat,3,unavailable,False,only 3 usable videos (< 15)
over,over,3,unavailable,False,only 3 usable videos (< 15)
oriya,oriya,3,unavailable,False,only 3 usable videos (< 15)
original,original,3,unavailable,False,only 3 usable videos (< 15)
strong,strong,3,unavailable,False,only 3 usable videos (< 15)
straight,straight,3,unavailable,False,only 3 usable videos (< 15)
stop,stop,3,unavailable,False,only 3 usable videos (< 15)
stone,stone,3,unavailable,False,only 3 usable videos (< 15)
steel,steel,3,unavailable,False,only 3 usable videos (< 15)
comb,comb,3,unavailable,False,only 3 usable videos (< 15)
open,open,3,unavailable,False,only 3 usable videos (< 15)
onion,onion,3,unavailable,False,only 3 usable videos (< 15)
office,office,3,unavailable,False,only 3 usable videos (< 15)
comfortable,comfortable,3,unavailable,False,only 3 usable videos (< 15)
come,come,3,unavailable,False,only 3 usable videos (< 15)
parliament,parliament,3,unavailable,False,only 3 usable videos (< 15)
paragraph,paragraph,3,unavailable,False,only 3 usable videos (< 15)
bedroom,bedroom,3,unavailable,False,only 3 usable videos (< 15)
beautiful,beautiful,3,unavailable,False,only 3 usable videos (< 15)
special,special,3,unavailable,False,only 3 usable videos (< 15)
papaya,papaya,3,unavailable,False,only 3 usable videos (< 15)
close,close,3,unavailable,False,only 3 usable videos (< 15)
clock,clock,3,unavailable,False,only 3 usable videos (< 15)
bathroom,bathroom,3,unavailable,False,only 3 usable videos (< 15)
bath,bath,3,unavailable,False,only 3 usable videos (< 15)
star,star,3,unavailable,False,only 3 usable videos (< 15)
square,square,3,unavailable,False,only 3 usable videos (< 15)
owner,owner,3,unavailable,False,only 3 usable videos (< 15)
owl,owl,3,unavailable,False,only 3 usable videos (< 15)
cockroach,cockroach,3,unavailable,False,only 3 usable videos (< 15)
cock,cock,3,unavailable,False,only 3 usable videos (< 15)
cinema,cinema,3,unavailable,False,only 3 usable videos (< 15)
perfect,perfect,3,unavailable,False,only 3 usable videos (< 15)
percentage,percentage,3,unavailable,False,only 3 usable videos (< 15)
peas,peas,3,unavailable,False,only 3 usable videos (< 15)
pause,pause,3,unavailable,False,only 3 usable videos (< 15)
patience,patience,3,unavailable,False,only 3 usable videos (< 15)
parrot,parrot,3,unavailable,False,only 3 usable videos (< 15)
travel,travel,3,unavailable,False,only 3 usable videos (< 15)
transparent,transparent,3,unavailable,False,only 3 usable videos (< 15)
king,king,3,unavailable,False,only 3 usable videos (< 15)
kilogram,kilogram,3,unavailable,False,only 3 usable videos (< 15)
kerala,kerala,3,unavailable,False,only 3 usable videos (< 15)
kannada,kannada,3,unavailable,False,only 3 usable videos (< 15)
june,june,3,unavailable,False,only 3 usable videos (< 15)
anonymous,anonymous,3,unavailable,False,only 3 usable videos (< 15)
annual,annual,3,unavailable,False,only 3 usable videos (< 15)
son,son,3,unavailable,False,only 3 usable videos (< 15)
belt,belt,3,unavailable,False,only 3 usable videos (< 15)
before,before,3,unavailable,False,only 3 usable videos (< 15)
sometimes,sometimes,3,unavailable,False,only 3 usable videos (< 15)
photograph,photograph,3,unavailable,False,only 3 usable videos (< 15)
person,person,3,unavailable,False,only 3 usable videos (< 15)
tuberculosis,tuberculosis,3,unavailable,False,only 3 usable videos (< 15)
tubelight,tubelight,3,unavailable,False,only 3 usable videos (< 15)
july,july,3,unavailable,False,only 3 usable videos (< 15)
diabetes,diabetes,3,unavailable,False,only 3 usable videos (< 15)
job,job,3,unavailable,False,only 3 usable videos (< 15)
jaundice,jaundice,3,unavailable,False,only 3 usable videos (< 15)
island,island,3,unavailable,False,only 3 usable videos (< 15)
die,die,3,unavailable,False,only 3 usable videos (< 15)
city,city,3,unavailable,False,only 3 usable videos (< 15)
circle,circle,3,unavailable,False,only 3 usable videos (< 15)
sofa,sofa,3,unavailable,False,only 3 usable videos (< 15)
best,best,3,unavailable,False,only 3 usable videos (< 15)
snow,snow,3,unavailable,False,only 3 usable videos (< 15)
planet,planet,3,unavailable,False,only 3 usable videos (< 15)
angle,angle,3,unavailable,False,only 3 usable videos (< 15)
amritsar,amritsar,3,unavailable,False,only 3 usable videos (< 15)
amount,amount,3,unavailable,False,only 3 usable videos (< 15)
insect,insect,3,unavailable,False,only 3 usable videos (< 15)
individual,individual,3,unavailable,False,only 3 usable videos (< 15)
hygiene,hygiene,3,unavailable,False,only 3 usable videos (< 15)
allergy,allergy,3,unavailable,False,only 3 usable videos (< 15)
unfair dismissal,unfair dismissal,3,unavailable,False,only 3 usable videos (< 15)
division,division,3,unavailable,False,only 3 usable videos (< 15)
china,china,3,unavailable,False,only 3 usable videos (< 15)
pink,pink,3,unavailable,False,only 3 usable videos (< 15)
pick,pick,3,unavailable,False,only 3 usable videos (< 15)
sleep,sleep,3,unavailable,False,only 3 usable videos (< 15)
skirt,skirt,3,unavailable,False,only 3 usable videos (< 15)
divide,divide,3,unavailable,False,only 3 usable videos (< 15)
distribute,distribute,3,unavailable,False,only 3 usable videos (< 15)
distance,distance,3,unavailable,False,only 3 usable videos (< 15)
dissent,dissent,3,unavailable,False,only 3 usable videos (< 15)
housefly,housefly,3,unavailable,False,only 3 usable videos (< 15)
hotel,hotel,3,unavailable,False,only 3 usable videos (< 15)
hidden file,hidden file,3,unavailable,False,only 3 usable videos (< 15)
hate,hate,3,unavailable,False,only 3 usable videos (< 15)
door,door,3,unavailable,False,only 3 usable videos (< 15)
happy,happy,3,unavailable,False,only 3 usable videos (< 15)
skin,skin,3,unavailable,False,only 3 usable videos (< 15)
sister,sister,3,unavailable,False,only 3 usable videos (< 15)
police,police,3,unavailable,False,only 3 usable videos (< 15)
please,please,3,unavailable,False,only 3 usable videos (< 15)
vision,vision,3,unavailable,False,only 3 usable videos (< 15)
shoot,shoot,3,unavailable,False,only 3 usable videos (< 15)
proof,proof,3,unavailable,False,only 3 usable videos (< 15)
programme,programme,3,unavailable,False,only 3 usable videos (< 15)
profession,profession,3,unavailable,False,only 3 usable videos (< 15)
principal,principal,3,unavailable,False,only 3 usable videos (< 15)
singapore,singapore,3,unavailable,False,only 3 usable videos (< 15)
bite,bite,3,unavailable,False,only 3 usable videos (< 15)
shy,shy,3,unavailable,False,only 3 usable videos (< 15)
change,change,3,unavailable,False,only 3 usable videos (< 15)
chalk,chalk,3,unavailable,False,only 3 usable videos (< 15)
prescription,prescription,3,unavailable,False,only 3 usable videos (< 15)
pray,pray,3,unavailable,False,only 3 usable videos (< 15)
power,power,3,unavailable,False,only 3 usable videos (< 15)
potato,potato,3,unavailable,False,only 3 usable videos (< 15)
policy,policy,3,unavailable,False,only 3 usable videos (< 15)
catch,catch,3,unavailable,False,only 3 usable videos (< 15)
punjabi,punjabi,3,unavailable,False,only 3 usable videos (< 15)
punjab,punjab,3,unavailable,False,only 3 usable videos (< 15)
punctual,punctual,3,unavailable,False,only 3 usable videos (< 15)
proud,proud,3,unavailable,False,only 3 usable videos (< 15)
shoulder,shoulder,3,unavailable,False,only 3 usable videos (< 15)
shop,shop,3,unavailable,False,only 3 usable videos (< 15)
alive,alive,3,unavailable,False,only 3 usable videos (< 15)
vessel,vessel,3,unavailable,False,only 3 usable videos (< 15)
variable,variable,3,unavailable,False,only 3 usable videos (< 15)
valley,valley,3,unavailable,False,only 3 usable videos (< 15)
handkerchief,handkerchief,3,unavailable,False,only 3 usable videos (< 15)
hair,hair,3,unavailable,False,only 3 usable videos (< 15)
drive,drive,3,unavailable,False,only 3 usable videos (< 15)
gun,gun,3,unavailable,False,only 3 usable videos (< 15)
air matress,air matress,3,unavailable,False,only 3 usable videos (< 15)
qualification,qualification,3,unavailable,False,only 3 usable videos (< 15)
visa,visa,3,unavailable,False,only 3 usable videos (< 15)
virus,virus,3,unavailable,False,only 3 usable videos (< 15)
village,village,3,unavailable,False,only 3 usable videos (< 15)
view,view,3,unavailable,False,only 3 usable videos (< 15)
warm,warm,3,unavailable,False,only 3 usable videos (< 15)
agra,agra,3,unavailable,False,only 3 usable videos (< 15)
