uid,gloss,duration,category
0qDR-9wAiXk,diesel,6,transport
0rN_yoKLCRw_1,vault,10,banking
0sE5EMDNsDo,sorry,3,greeting
0t5NaJwemgI_1,mother,9,relation
0tUzIPQ31n8_1,drop,6,action
0uvuluJqqAM,listen,3,action
0vbtRdb9zTI_2,telephone,7,electronic and electrical
0vx6xWIEP_0_1,night,6,time
0wB165T8JuA,dirndl  skirt,13,wearable
0wY8TKOu5z0_1,audiologist,7,profession
0xVWH6F3Fz0,lose,4,sport
0xrgLBuhXG0,milter hat,8,wearable
0xxg0V8sb3w_1,audit,10,banking
0ykPPmSC3Wk,box pleats,6,wearable
0zTZkTkBAoU,world federation of the deaf youth section,4,organisation
0zqOg8HwQiM,ball bearing,13,machine
1-Zz07NcsKM,eleven,4,math
1-wpwyfm1Mg_1,angry,7,emotion
10KuxOH6cYM_1,interest,7,behavior
11derBixy2I_1,day,5,time
12zIYqZt4m8_1,person,9,human
14AboByr9GE_1,kind,8,behavior
14yNmnzY7X0_1,legal,8,legal
16P4ngMXeLM,4g,3,internet
17ar03dZ7bQ_1,security,9,legal
17sdVu62Og4,cut  line,12,instrument
181pBJw-eWg,july,4,time
18NS94mBGS4,grow,5,time
18Os6IiQRes_2,metre,8,metric
18Wi03A6brU,national,4,geography
18bO_HQbsF4_1,hurt,5,sensation
18f9RKQp4zw,resign,4,action
18hKLmAVIMg_1,june,6,time
1AId61ylQL0,v neck,9,wearable
1B-XlHxT32g_1,parents,10,relation
1B3HK-qQTHI_1,share,7,action
1B_wGNSS-uY,pink,6,abstract
1CVlY8md0JI_1,hire charges,10,banking
1DMSk1W0LSY_1,amritsar,6,geography
1EoEG8Pvc8Q,wifi,4,internet
1F-Blrvtuos_2,south pole,12,geography
1FXtTMWGzMY_1,matchbox,7,miscellaneous object
1FirQ_71-j0,ellipse tool,10,instrument
1FnNbApsiHg,poultry science,12,flora and fauna
1G3VZ_HWTWI,expertise,4,quality
1GJkBoBf-S0_1,stand,7,action
1HI4TKdLMOw,sign,3,gesture
1IQ2ygYhtG0_1,pure,7,attribute
1IZPvJn7an0,discuss,5,process
1Ih8aIET1t8,air deccan,5,transport
1KCDw7XLgU0,mahavir jayanti,4,event
1L1W-NyiguQ_1,mouth,8,biology
1MKJ9LGRot8_1,race,6,event
1MPaj2JcH1c,kotak mahindra bank,5,banking
1Mh8DMTca88,tap,5,utility item
1N2-vwG1gMs_1,elbow,7,biology
1NNgGxZWunM_2,semi solid,8,math
1NcamL3P63A,safe,4,attribute
1NqEYBhtmZE,sign,5,gesture
1O3tCXovrw8,humid,5,weather
1O9PueJaMDw_1,dhothi,7,wearable
1OGWcDShnx4_1,lorry,6,transport
1OPTSnDAImg,private,5,attribute
1OZTqBF7fFg,deposit slip,8,banking
1PVMa5B3rMs,soup,5,foods and drinks
1QOS_slPJS4,device setting,9,electronic and electrical
1R3n6vTHqzs_1,it,6,language
1Rdm3h9voMQ_1,nepal,6,geography
1RxiKpQqaJM,online banking,5,banking
1SPhtgudjI4_1,year of harvest,8,time
1STccvjvCKQ,selfish,3,behavior
1SWHwkSeN5M,assume,6,action
1SkZMNfDITQ,hard drive,5,electronic and electrical
1T-rlcPbebo,hygiene,5,attribute
1TZXeenr980_1,hope,7,action
1TiirpYN_W8,line,6,math
1ULJICYKp4E,grammar,5,language
1VHhWnMU21Y,ninth,6,math
1VMQKUMCDqc,yoke,9,wearable
1VYE8MAF6yY_1,hanuman,6,religious
1XEZmymH4e4,pisciculture,13,biology
1XFe7SCIQKw,anonymous,15,abstract
1XGaQTl0iQs_1,draftsmen,7,profession
1XLi2MXWjGc_1,today,6,time
1Xr-mIMAgvY,ground water,11,substance
1Zy29R7mOcM,suffer,5,action
1_PI2OxnryQ_1,gas stove,7,instrument
1aZYCh3HDZY,before,4,spatial position
1d0uOp_sG00,kidney cancer renal cell,4,biology
1d6PKNBVh04,sample,5,abstract
1dsbO78Qh5I,ready,4,abstract
1dzqHHOtvXI,vietnam,3,geography
1eodwdZ3isc,deadline,3,time
1f6OchgCQrE,me,5,human
1gZ9QlblgGs_1,syndication,10,commerce
1h164VbpnFo_1,pay,7,banking
1hBXvK7TuNo_1,prime minister,7,authority
1hghU7py9HI_1,corruption,7,legal
1hobNL7ofvg_2,resonance,11,sound
1hzdxU-RztQ_1,mountain,9,geography
1iCtgbRsFnE,popcorn,5,foods and drinks
1iZij0vXGiQ_1,client,15,human
1iqG_Rkp7f0,volkswagen,4,organisation
1js4OwpNYrc,attitude,4,behavior
1kJrmgJ0EMs,all india foundation of deaf women,4,organisation
1kRjJqOY1q0_1,double entry,11,banking
1kasuHeFIuw,language,3,language
1lGwbhBsuu4,backache,8,medical
1leH92mkoBI_1,snakes,6,flora and fauna
1mWlliCFyxM,escape,4,action
1nnXT-QVPpI_1,wrestling,6,sport
1ocgYJL04To_1,skirt,7,wearable
1p0Yw8NfadM_1,balance,8,banking
1pTz3GSNi6w_1,elbow,8,biology
1qV27cyAjEY,insect,7,flora and fauna
1rPm_3Csg8M_1,stock closing,9,banking
1rjhkQSKHSI,gold,4,metal and minerals
1s1-9Ve6LN8_1,thief,6,profession
1s1kck3BMLM,gulab jamun,5,foods and drinks
1sZ4BSOC8nc,grandmother,5,relation
1tA9YYn3oys,e office portal,9,internet
1tIRnOnG1LI_1,tuberculosis,9,medical
1tRmBdfaCwQ,reward,4,miscellaneous object
1tst7-aazJo,warn,3,action
1tyx9hWefCk,similar,5,comparator
1uQyCwx-fEE_1,announce,6,action
1uiUwkOZyis,milk bottle,5,utility item
1vIbJ1xeH6c_1,berth,8,transport
1vPiHLNlbBw,engineer,5,profession
1vj0PwGPGss,death certificate,3,readable
1vjgq4r7OQs,lacing,11,process
1vpIZUFKZpQ,lunch,3,foods and drinks
1wTikbR4vsE,scared,4,emotion
1wVR6wsoIfw_2,complete,8,process
1w_bYsmoFKA,email,4,internet
1wmnjSPpUHs,calculator,5,math
1x9a9JTehm8,dissent,5,action
1xOrQM7AP9g,vector graphics,8,computer
1xTATM3v8k4,umbrella,3,utility item
1yVn9e5zDKU,isl,5,language
1yd6Uo25Ge0_1,hate,7,emotion
1yd8COXSRrg_2,simultaneous,10,time
1z5RuDOokzk,guilt,5,emotion
1zOTclxTpZ0_1,drive,6,transport
2-0sLH5bX0k,oriya,6,language
2-6FnMinc3U,knife,5,utility item
2-VcJVXUBKw_1,leave compensatory,10,profession
2-YiNRKp7xI,legged robots,13,electronic and electrical
2-oX2aeeV9M,welding hand screen,6,miscellaneous object
203WGsHFjhI,divorce,6,legal
20ZBNdEFT6c_1,police,6,profession
21Y0f3QHoKo,rupee,5,banking
23L4Zan3GuY,shaving razor,4,utility item
23kjqyecBwE,fine,4,emotion
25Ju8FP3zV8,parliament,5,legal
267RgFdcIM8_2,mho,9,metric
26vEFQYbzvc,krishna,5,religious
27q3W_M38Ts_1,flood,9,event
299nspHeeag_2,colllsion,8,physics
2AGfP7x3obk_1,sit,7,action
2BI51rfBot0_1,decrease,9,comparator
2CbOSGxS80s,video relay service,4,electronic and electrical
2Cf1btUy1NI,nephew,5,relation
2CjHiFW898s,jasminum sambac,9,flora and fauna
2CrAogKMFeo_1,balcony,9,construction
2DAexoF0SsA_1,thief,6,profession
2DspG3QZfrU,taste,14,sensation
2EgTWnIIS3Q_1,matchbox,8,miscellaneous object
2GL0HkOQVmA,shy,4,behavior
2GS4eJRYIi8,get up,4,process
2GYl9B7mF4A_2,straight,8,spatial position
2HZkAQx4QXg_1,laboratary,8,education
2Hp-Yy2Qwn0_1,suspend,11,legal
2JY-9q3ehfY,ladder,6,transport
2KrNWzeY_dU,paytm payments bank,6,banking
2LLe-kRAu0o,inauguration,4,event
2L_H8HYM5hE,accounts,4,banking
2MlaLGpWk74,keying,14,action
2MvrW4Vw7ZU,indigo,6,colour
2NNiSDCb0ek_1,deaf,7,medical
2OZj2Tt8dAA_1,sugar,6,foods and drinks
2Os6w6jmxIg,scissors,4,utility item
2PcBSQ4A8XM,parrot,5,flora and fauna
2QrMULTorPY,meghalaya,4,geography
2R_HbT1AO0c,flush door,5,construction
2SBugE72qbg_1,nose,8,biology
2U643_QFXA8_2,engine,9,machine
2UL2iPLFUTE,rank,5,organisation
2VUCXrEllWo_1,ghee,6,foods and drinks
2VssiV_sEIo,burden,15,emotion
2WBsjTVGFDw_1,thursday,6,time
2WzVp7AncT4_2,coherent,7,physics
2XXjH0ZsdTg_1,heavy,7,attribute
2XbRuRKOfRE,kuwait,4,geography
2ZARB_EzwH4_1,term of office,11,legal
2ZMZ0wFUmdI_1,toothbrush,7,utility item
2bDOqi4YXtI,paragraph,4,language
2bxNtdmwWmo_1,salary,8,banking
2c8it0IZnyw_1,miss,5,emotion
2cCGTlNYZCQ,manipur,4,geography
2cDgDbxkXFE,parents,4,relation
2cNWWG800gc_1,memo,7,legal
2cW9Z4UPvgA_1,bill,7,banking
2dd7JFwQPh0,permanent,4,attribute
2e5SUxTjVvI,delhi,4,geography
2gAXTX3_db8_1,servant,7,profession
2iB4Rwtng94,albania,4,geography
2iWRUv6eMls,twenty,4,quantity
2ieSeOjAJZE,dustbin,5,utility item
2kHyMlPqHpg_1,majority,9,quantity
2kg98yjEHcE,summon,11,legal
2kiOvqNPlEE,soldier,5,profession
2lPUKkvlZvE,mean,4,behavior
2lX7iTDBWP8_1,april,6,time
2mKv8y9bYI0,powerlines,10,electronic and electrical
2mZBDcRjP-Q_1,weaver,6,profession
2nQwUc_jbRY_1,stars,7,astronomical
2oHjc0njDdo,election,5,event
2oYEEIt4HFs,each,4,quantity
2p00fwBvXEs_1,state,5,geography
2pjUxRe91qU_1,teeth,7,biology
2praG1zS_-c_1,breathe,8,action
2qRR4hQZAdA_1,change,4,action
2qV_PsuKKvE_1,peteti,8,event
2tX3eQTM1Lc_2,colour filter,12,colour
2tawxaYAZcA,panama,3,geography
2tp3AspW6TA,karnataka,4,geography
2u2aH81FDWM,preposition,7,language
2uRtqd5Mxmc,riverine,15,geography
2vUvW-0XfUE,bharatiya janata party,4,politics
2vdw_PjA8FE,role,4,action
2vfL9h_KiJE_1,peon,7,profession
2w6c7g7ZPKo_1,labourer,9,profession
2wA4J_9FFIc_1,foot,7,biology
2yARXoO8Nrg_2,amount,8,metric
2yDcFJQ3t8Y,zebra crossing,6,transport
2yJXBFhvqk0_1,shop,6,action
2yqiuXXxZ3Y_1,cheque postdated,12,banking
2zv3MpREUNA,private secretaryps,14,profession
3-JaJnYcae8_1,durga,6,religious
30OIyeGhcQM,swallow,7,biology
31IAr_rm054_1,face,7,biology
31l98A8z-h4,sikhism,4,religious
32OshNWYUgE_1,evening,7,time
32SWjSJrL0s_1,spot exchange,8,banking
33mc9fTI8tE_1,goods,10,utility item
33nznChivz8_1,hang,6,action
34UjBeye-E0_1,advertisement,7,internet
34WMjwYFdsI,dissent,5,action
36-jdo8Gt4o,sun,3,astronomical
37KfHOkm_mM_1,lnaugurate,7,process
37bLyyxKZKs,punish,4,action
37i_Xt_w0Rs,capable,6,attribute
37z5dnLqYms,ovi viviparous,15,biology
380a54uCumQ,bike suspension,9,machine
38_FvLAz4Lo_1,police,7,profession
38hLbeCJAtA_1,decrease,6,comparator
39tZrKjvdQM,hard,5,quality
3Azhh428me8,october,5,time
3BJDzOlCGcc_1,down,5,spatial position
3DOyNnKRg0c_1,tribal,8,group
3DSsRKPkiGI,nappy,6,utility item
3DVy0Znsfj0_1,title,12,attribute
3DeQ1zZ5pjo_1,delhi,6,geography
3ETJPlFTcwk_1,spilt,7,action
3EU1DcenjJw,tripura,5,geography
3Eq8FeSFJpY,scan,5,action
3FY7bYQBJ8M,alcohol,4,foods and drinks
3FhNDV9UDzc,ruthless,5,behavior
3FlXNEmG6h0,lemon,5,foods and drinks
3GbJlbAKUy8_2,erect,6,attribute
3GlZqV3RSp0,jump,6,process
3HMUM-9pQj0,archery,4,sport
3I1fwIgGXv8,name,3,language
3I2-zG4Ymb4,force,4,physics
3IHHaKspcfA,pole vault,5,miscellaneous object
3KS9SiHwRVI,africa,4,geography
3L80qKk4daI_2,printed circuit board,11,electronic and electrical
3MeFx_eYZK0_1,under subscribed,7,banking
3MoTC6iB3xQ,organization,4,organisation
3MxE482U2Ns,pull someone's leg,3,action
3NIFg2ExoMs,scratch,5,action
3NPxIy6OXzg_1,drawer,8,construction
3NUcsb2W1OQ_1,tusks,6,biology
3OHkLPutuYM,legalese,15,legal
3R3KvYV43nQ_1,shop,6,action
3RKj4XQRxkc_2,metal,9,metal and minerals
3Rn7sqmjgWo_2,osmosis,7,physics
3S1RLtVj7PE,sweater,4,wearable
3SBcHgw6wRM,minor,8,behavior
3SIXJfwYlFw,anniversary,9,event
3SRihi99gjc_1,home,8,geography
3SRqBpgSrqI_1,week,6,time
3SS49K8MK1w,belt loops,7,wearable
3Sct_ii1-yQ_1,drawer,11,construction
3T5RJ1_NFrM_1,milk,6,foods and drinks
3TNpBwr-Cxo_2,transformation of energy,9,physics
3TSVb2e1zJw_1,saturday,6,time
3UYC9939yQw_1,improve,5,time
3VP2rlxefJI,magnetic ink character recognition,15,computer
3VSNwJnUmdA,adobe acrobat reader,9,computer
3WEkK4AaiV4,kidney beans,6,foods and drinks
3X2TOqyDgv8,peas,4,foods and drinks
3X7DZIiH2ZQ,uzbekistan,4,geography
3XCX0YETmuk_1,sunday,6,time
3Y7KPnUv9kA,animals,4,flora and fauna
3aJtWIMsFx8,cpi,4,education
3bAW9KtLSXk,gardener,5,profession
3bV2PgWlc7M,peas,4,foods and drinks
3cluYDK8u08_1,acting,11,action
3cp85oNRRj8_1,tongs,6,instrument
3dJCO6ExmY0,real estate agent,6,profession
3e4K5QbywVc,ports tab,5,electronic and electrical
3fG2P5D8Jm0_1,open,6,action
3fKtgE9aQso,yesterday,3,time
3g-VyVR_iyU,nervous,4,emotion
3gymi4f7hps_1,lay off,8,banking
3h4uBHZ4J2Q_1,december,6,time
3hIkQEZ923Q_1,joumal entry,10,readable
3hTK036o_F4_1,group,9,group
3ir8Rnwx8TY,potato,4,foods and drinks
3jg1TpRzkGs,ear,5,biology
3kNaobravCU,office,3,organisation
3kbyPG13anw_1,tell,7,action
3lMNHGXNQ3Q,uganda,4,geography
3muHDD0neyo,warm,3,weather
3n8cKQOSZfM,semicircle,4,math
3ncXcBiwveA,magician,4,profession
3nnG7x_qkck_1,night,7,time
3pZp4IFQCuA,parts,3,math
3ppf7DdzKvA,search,4,action
3pqDm0UKO14,first coat,10,wearable
3qKiJRMOzsc,watermelon,4,foods and drinks
3sX8OzIgyIc_2,capacity,11,quantity
3snObAxKXOQ,dress,3,wearable
3t63THdE5wM,each,5,quantity
3tFefLfXIn4_1,september,6,time
3uHfsQnqReY_1,bathroom,11,construction
3uW2Y--Yd9U,sand paper,14,utility item
3uyNF9yZCCw_1,sand,9,geography
3v5Id7dDttk,buddha purnima,6,religious
3vAxsFOJdVo,germany,4,geography
3vXJ605MFbU,maybe,3,language
3wKsYea6rfs_1,wood,7,miscellaneous object
3wgPDtFtXWE_1,waive,5,action
3xKJDf869EY,value,3,attribute
3y-nQO6e5iQ,go air,5,organisation
3y4vcRJBNs0,restart,6,action
3yRZjuvtEd0_1,arm,8,biology
3ymIgijDrC0,owl,5,flora and fauna
3zXseLcBn4A_1,entertainment,5,entertainment
3zbf5Y2id1U_2,universe,12,astronomical
4--6iRQ6-7A,amazon,5,organisation
4-LrYNRVVZk_1,delete,8,action
4-d6EGJjZNk,travel,4,action
40AA6WkT-Ys_2,centrifugal,14,physics
413unEDKRXQ,dwarf,6,attribute
41OGaqeAUMg,glass block,9,substance
42CmhRt0ANs_2,electric charge,9,physics
42WTTq2hqh8_1,bill,8,banking
42axCoiER4s,similar,4,comparator
42cPzLjkVEs_1,statement of account,9,banking
44mCQaeKBVw,last month,5,time
44ueVmAA5W4,acceptance letter,6,education
46-lhzhJf78,praise,4,action
461WaV7kRxw_1,sky,6,abstract
46EMlBxuYAU,tailor,5,profession
46eCCVvkyIc,jawaharlal nehru,4,human
46tD7Du6BNs,measuring tape,5,instrument
48ODiLP2VgA,summary,5,education
49bdeG9jPdM,nematode control,15,biology
49c0qMhaE20,hydraulic sprayer,10,utility item
4AMULo6htKw,disconnect,7,action
4ANEdd5HfAs,withdraw money from bank,6,banking
4BBTQpBwAXw_1,rectification,8,chemistry
4BNqHj-lQaE,list,5,readable
4C5snSNt79Q_1,hours,6,time
4CrR5m-eSIs,ring spanner,11,instrument
4EihrPe_PfY,recent,5,time
4FQuX9bwT2I,flower for medical importance,10,flora and fauna
4FldxWjLykY,arunachal pradesh,4,geography
4GH0wBiRfX4_1,security continuing,10,legal
4HMKoVmJQ0E_1,key,7,utility item
4I-jm9Ng7YU_1,minimum,9,comparator
4ILXbXTUUp4,periods,3,biology
4IR40ptGTIU_1,rat,6,flora and fauna
4Irn82ukR2M_1,post card,8,readable
4J5r3KmJCPU_1,follow,8,action
4JLkY7vGCHM_1,typist,6,profession
4JPQ0EUdcbg,repair,4,action
4K-4FU5l7cY_1,time,6,time
4KOdh-2oe8Y,cop,6,profession
4KjtR4PwJVM_1,differential rate of interest,11,banking
4KttVgLezuY_1,mysore,7,geography
4LM1k8KifiY,situation,4,time
4LndvMQ2dO0,weightlifting,3,sport
4MB7jUMQvac,autumn,10,time
4MDuw5Pj-94_1,balance closing,10,banking
4NzoLuGTigs,electric bus,13,transport
4OMY6uJx-O4_1,fresh,8,quality
4Os2Hh06GPc_1,earth,8,geography
4P7EFM3C4MM,smog,15,chemistry
4Q0ANLHhzwk_1,sun,6,astronomical
4QdYqEbZu8Q,recently,5,time
4QkxfvOC3go_1,how much,6,quantity
4Qm7AgT_VKg_1,income tax,8,banking
4RBAWNsG8Hk_1,geometry,8,math
4RNnYGS3E34_1,feather,7,flora and fauna
4RTN56hfFTM_2,nuclear reactor,13,physics
4Ruem9NXrqw_1,std,9,medical
4SRWa0Z5c8Q,hollow blocks,10,construction
4SlMtTeUkEE_1,monday,5,time
4TLvls1tSgA_1,company,10,organisation
4TXbOxz60R4,online,6,internet
4TubhVVN1ds_1,father-in-law,11,relation
4TymgqvinvY,socks,3,wearable
4UMMRCc0Iak,addendum,7,readable
4UvD29cSe1U_1,duration,10,time
4Vj5NM9KRzY,tuberculosis,4,medical
4WDhqg6s8lw_1,take,5,action
4WuV_HD-hZ0_1,vegetarian,6,foods and drinks
4XFgnsejElI,photocopy,5,miscellaneous object
4XYSXKlhpE0_1,suspend payment,12,banking
4ZGhwybcIc0,separate,4,action
4ZJOFmnUXOI_1,acknowledgement,13,action
4ZhRcyVJKu4_1,way,6,process
4aB00bo7A5M_2,diesel,10,transport
4accXsYqRnA,what,3,abstract
4aqQ1oxaHVU_1,measure,6,math
4bEmX9n5WqQ,aunt,6,relation
4bUNNgy6hOg_1,air,7,substance
4bjLAMYZciw,strange,5,behavior
4bzRDATIEGY,ladder,8,transport
4ee_deI0hZA_1,olympics,5,sport
4epyVRUXIWA,computer,4,computer
