uid,gloss,duration,category
0ZMXZUybS9M_1,until,6.0,time
0_3gIUNTp8U,translate,4.0,action
0_aBnLgwYuk,backdate,4.0,time
0_dU4pT_Ch4,conference,5.0,group
0cLdo9cL7y4,full stomach,5.0,sensation
0dz5Em9gsjk,sacrifice,4.0,action
0eCFVHc06YA_1,bell,5.0,miscellaneous object
0eNooDbmED4,oviparous,13.0,biology
0egx6MUyz0w,exporting graphics,15.0,computer
0fKqgIRvg-8,jharkhand,5.0,geography
0fO9xNyE9eU_1,obedience,7.0,behavior
0fdRLmUIlZE_2,indigo,10.0,colour
0ggPraT35p0,ranveer singh,4.0,human
0hEQ8ufcIQU,amritsar,4.0,geography
0hZluINun1Y,paraguay,3.0,geography
0hhs7A5uf3E,vision,4.0,abstract
0hkuayZghpM_1,circle,11.0,math
0ijcVXYEvY8_2,tldal energy,9.0,physics
0klM2u7dV9M,aam aadmi party,4.0,politics
0kr-oJWV_wI_2,circular motion,11.0,physics
0lrX7s_3ScY,bowled out,4.0,sport
0ly7tC51g_o_1,sundry debtors,9.0,group
0msmxYxchSc,meditate,7.0,action
0nJrw8f2FLs_1,scold,6.0,action
0nVI2GBhbUQ_1,particulars,10.0,attribute
0n_FeKAXjUI,manage,4.0,action
0oJ_jMGRJCE,roof garden,8.0,construction
0oWHR36xnT8_1,this,5.0,relation
0qDR-9wAiXk,diesel,6.0,transport
0rN_yoKLCRw_1,vault,10.0,banking
0sE5EMDNsDo,sorry,3.0,greeting
0t5NaJwemgI_1,mother,9.0,relation
0tUzIPQ31n8_1,drop,6.0,action
0uvuluJqqAM,listen,3.0,action
0vbtRdb9zTI_2,telephone,7.0,electronic and electrical
0vx6xWIEP_0_1,night,6.0,time
0wB165T8JuA,dirndl  skirt,13.0,wearable
0wY8TKOu5z0_1,audiologist,7.0,profession
0xVWH6F3Fz0,lose,4.0,sport
0xrgLBuhXG0,milter hat,8.0,wearable
0xxg0V8sb3w_1,audit,10.0,banking
0ykPPmSC3Wk,box pleats,6.0,wearable
0zTZkTkBAoU,world federation of the deaf youth section,4.0,organisation
0zqOg8HwQiM,ball bearing,13.0,machine
1-Zz07NcsKM,eleven,4.0,math
1-wpwyfm1Mg_1,angry,7.0,emotion
11derBixy2I_1,day,5.0,time
12zIYqZt4m8_1,person,9.0,human
14AboByr9GE_1,kind,8.0,behavior
14yNmnzY7X0_1,legal,8.0,legal
16P4ngMXeLM,4g,3.0,internet
17ar03dZ7bQ_1,security,9.0,legal
17sdVu62Og4,cut  line,12.0,instrument
181pBJw-eWg,july,4.0,time
18NS94mBGS4,grow,5.0,time
18Os6IiQRes_2,metre,8.0,metric
18Wi03A6brU,national,4.0,geography
18bO_HQbsF4_1,hurt,5.0,sensation
18f9RKQp4zw,resign,4.0,action
18hKLmAVIMg_1,june,6.0,time
1AId61ylQL0,v neck,9.0,wearable
1B-XlHxT32g_1,parents,10.0,relation
1B3HK-qQTHI_1,share,7.0,action
1B_wGNSS-uY,pink,6.0,abstract
1CVlY8md0JI_1,hire charges,10.0,banking
1EoEG8Pvc8Q,wifi,4.0,internet
1F-Blrvtuos_2,south pole,12.0,geography
1FXtTMWGzMY_1,matchbox,7.0,miscellaneous object
1FirQ_71-j0,ellipse tool,10.0,instrument
1FnNbApsiHg,poultry science,12.0,flora and fauna
1G3VZ_HWTWI,expertise,4.0,quality
1GJkBoBf-S0_1,stand,7.0,action
1HI4TKdLMOw,sign,3.0,gesture
1IQ2ygYhtG0_1,pure,7.0,attribute
1IZPvJn7an0,discuss,5.0,process
1Ih8aIET1t8,air deccan,5.0,transport
1L1W-NyiguQ_1,mouth,8.0,biology
1MKJ9LGRot8_1,race,6.0,event
1MPaj2JcH1c,kotak mahindra bank,5.0,banking
1Mh8DMTca88,tap,5.0,utility item
1N2-vwG1gMs_1,elbow,7.0,biology
1NNgGxZWunM_2,semi solid,8.0,math
1NcamL3P63A,safe,4.0,attribute
1O3tCXovrw8,humid,5.0,weather
1O9PueJaMDw_1,dhothi,7.0,wearable
1OGWcDShnx4_1,lorry,6.0,transport
1OPTSnDAImg,private,5.0,attribute
1OZTqBF7fFg,deposit slip,8.0,banking
1PVMa5B3rMs,soup,5.0,foods and drinks
1QOS_slPJS4,device setting,9.0,electronic and electrical
1R3n6vTHqzs_1,it,6.0,language
1Rdm3h9voMQ_1,nepal,6.0,geography
1RxiKpQqaJM,online banking,5.0,banking
1SPhtgudjI4_1,year of harvest,8.0,time
1STccvjvCKQ,selfish,3.0,behavior
1SWHwkSeN5M,assume,6.0,action
1SkZMNfDITQ,hard drive,5.0,electronic and electrical
1T-rlcPbebo,hygiene,5.0,attribute
1TZXeenr980_1,hope,7.0,action
1TiirpYN_W8,line,6.0,math
1ULJICYKp4E,grammar,5.0,language
1VHhWnMU21Y,ninth,6.0,math
1VMQKUMCDqc,yoke,9.0,wearable
1VYE8MAF6yY_1,hanuman,6.0,religious
1XEZmymH4e4,pisciculture,13.0,biology
1XGaQTl0iQs_1,draftsmen,7.0,profession
1XLi2MXWjGc_1,today,6.0,time
1Xr-mIMAgvY,ground water,11.0,substance
1Zy29R7mOcM,suffer,5.0,action
1_PI2OxnryQ_1,gas stove,7.0,instrument
1aZYCh3HDZY,before,4.0,spatial position
1d0uOp_sG00,kidney cancer renal cell,4.0,biology
1d6PKNBVh04,sample,5.0,abstract
1dsbO78Qh5I,ready,4.0,abstract
1dzqHHOtvXI,vietnam,3.0,geography
1eodwdZ3isc,deadline,3.0,time
1f6OchgCQrE,me,5.0,human
1gZ9QlblgGs_1,syndication,10.0,commerce
1h164VbpnFo_1,pay,7.0,banking
1hBXvK7TuNo_1,prime minister,7.0,authority
1hghU7py9HI_1,corruption,7.0,legal
1hobNL7ofvg_2,resonance,11.0,sound
1hzdxU-RztQ_1,mountain,9.0,geography
1iCtgbRsFnE,popcorn,5.0,foods and drinks
1iZij0vXGiQ_1,client,15.0,human
1iqG_Rkp7f0,volkswagen,4.0,organisation
1js4OwpNYrc,attitude,4.0,behavior
1kJrmgJ0EMs,all india foundation of deaf women,4.0,organisation
1kRjJqOY1q0_1,double entry,11.0,banking
1kasuHeFIuw,language,3.0,language
1lGwbhBsuu4,backache,8.0,medical
1leH92mkoBI_1,snakes,6.0,flora and fauna
1mWlliCFyxM,escape,4.0,action
1nnXT-QVPpI_1,wrestling,6.0,sport
1ocgYJL04To_1,skirt,7.0,wearable
1p0Yw8NfadM_1,balance,8.0,banking
1qV27cyAjEY,insect,7.0,flora and fauna
1rPm_3Csg8M_1,stock closing,9.0,banking
1rjhkQSKHSI,gold,4.0,metal and minerals
1s1-9Ve6LN8_1,thief,6.0,profession
1s1kck3BMLM,gulab jamun,5.0,foods and drinks
1sZ4BSOC8nc,grandmother,5.0,relation
1tA9YYn3oys,e office portal,9.0,internet
1tIRnOnG1LI_1,tuberculosis,9.0,medical
1tRmBdfaCwQ,reward,4.0,miscellaneous object
1tst7-aazJo,warn,3.0,action
1tyx9hWefCk,similar,5.0,comparator
1uQyCwx-fEE_1,announce,6.0,action
1uiUwkOZyis,milk bottle,5.0,utility item
1vIbJ1xeH6c_1,berth,8.0,transport
1vPiHLNlbBw,engineer,5.0,profession
1vj0PwGPGss,death certificate,3.0,readable
1vjgq4r7OQs,lacing,11.0,process
1vpIZUFKZpQ,lunch,3.0,foods and drinks
1wTikbR4vsE,scared,4.0,emotion
1wVR6wsoIfw_2,complete,8.0,process
1w_bYsmoFKA,email,4.0,internet
1wmnjSPpUHs,calculator,5.0,math
1x9a9JTehm8,dissent,5.0,action
1xOrQM7AP9g,vector graphics,8.0,computer
1xTATM3v8k4,umbrella,3.0,utility item
1yVn9e5zDKU,isl,5.0,language
1yd6Uo25Ge0_1,hate,7.0,emotion
1yd8COXSRrg_2,simultaneous,10.0,time
1z5RuDOokzk,guilt,5.0,emotion
1zOTclxTpZ0_1,drive,6.0,transport
2-0sLH5bX0k,oriya,6.0,language
2-6FnMinc3U,knife,5.0,utility item
2-VcJVXUBKw_1,leave compensatory,10.0,profession
2-YiNRKp7xI,legged robots,13.0,electronic and electrical
2-oX2aeeV9M,welding hand screen,6.0,miscellaneous object
203WGsHFjhI,divorce,6.0,legal
20ZBNdEFT6c_1,police,6.0,profession
21Y0f3QHoKo,rupee,5.0,banking
23L4Zan3GuY,shaving razor,4.0,utility item
23kjqyecBwE,fine,4.0,emotion
25Ju8FP3zV8,parliament,5.0,legal
267RgFdcIM8_2,mho,9.0,metric
26vEFQYbzvc,krishna,5.0,religious
27q3W_M38Ts_1,flood,9.0,event
299nspHeeag_2,colllsion,8.0,physics
2AGfP7x3obk_1,sit,7.0,action
2BI51rfBot0_1,decrease,9.0,comparator
2CbOSGxS80s,video relay service,4.0,electronic and electrical
2Cf1btUy1NI,nephew,5.0,relation
2CjHiFW898s,jasminum sambac,9.0,flora and fauna
2CrAogKMFeo_1,balcony,9.0,construction
2DspG3QZfrU,taste,14.0,sensation
2GL0HkOQVmA,shy,4.0,behavior
2GS4eJRYIi8,get up,4.0,process
2GYl9B7mF4A_2,straight,8.0,spatial position
2HZkAQx4QXg_1,laboratary,8.0,education
2Hp-Yy2Qwn0_1,suspend,11.0,legal
2KrNWzeY_dU,paytm payments bank,6.0,banking
2LLe-kRAu0o,inauguration,4.0,event
2L_H8HYM5hE,accounts,4.0,banking
2MlaLGpWk74,keying,14.0,action
2NNiSDCb0ek_1,deaf,7.0,medical
2OZj2Tt8dAA_1,sugar,6.0,foods and drinks
2Os6w6jmxIg,scissors,4.0,utility item
2PcBSQ4A8XM,parrot,5.0,flora and fauna
2QrMULTorPY,meghalaya,4.0,geography
2R_HbT1AO0c,flush door,5.0,construction
2SBugE72qbg_1,nose,8.0,biology
2U643_QFXA8_2,engine,9.0,machine
2UL2iPLFUTE,rank,5.0,organisation
2VUCXrEllWo_1,ghee,6.0,foods and drinks
2VssiV_sEIo,burden,15.0,emotion
2WBsjTVGFDw_1,thursday,6.0,time
2WzVp7AncT4_2,coherent,7.0,physics
2XXjH0ZsdTg_1,heavy,7.0,attribute
2XbRuRKOfRE,kuwait,4.0,geography
2ZARB_EzwH4_1,term of office,11.0,legal
2ZMZ0wFUmdI_1,toothbrush,7.0,utility item
2bDOqi4YXtI,paragraph,4.0,language
2bxNtdmwWmo_1,salary,8.0,banking
2c8it0IZnyw_1,miss,5.0,emotion
2cCGTlNYZCQ,manipur,4.0,geography
2cNWWG800gc_1,memo,7.0,legal
2cW9Z4UPvgA_1,bill,7.0,banking
2dd7JFwQPh0,permanent,4.0,attribute
2e5SUxTjVvI,delhi,4.0,geography
2gAXTX3_db8_1,servant,7.0,profession
2iB4Rwtng94,albania,4.0,geography
2iWRUv6eMls,twenty,4.0,quantity
2ieSeOjAJZE,dustbin,5.0,utility item
2kHyMlPqHpg_1,majority,9.0,quantity
2kg98yjEHcE,summon,11.0,legal
2kiOvqNPlEE,soldier,5.0,profession
2lPUKkvlZvE,mean,4.0,behavior
2lX7iTDBWP8_1,april,6.0,time
2mKv8y9bYI0,powerlines,10.0,electronic and electrical
2mZBDcRjP-Q_1,weaver,6.0,profession
2nQwUc_jbRY_1,stars,7.0,astronomical
2oHjc0njDdo,election,5.0,event
2oYEEIt4HFs,each,4.0,quantity
2p00fwBvXEs_1,state,5.0,geography
2pjUxRe91qU_1,teeth,7.0,biology
2praG1zS_-c_1,breathe,8.0,action
2qRR4hQZAdA_1,change,4.0,action
2qV_PsuKKvE_1,peteti,8.0,event
2tX3eQTM1Lc_2,colour filter,12.0,colour
2tawxaYAZcA,panama,3.0,geography
2tp3AspW6TA,karnataka,4.0,geography
2u2aH81FDWM,preposition,7.0,language
2uRtqd5Mxmc,riverine,15.0,geography
2vdw_PjA8FE,role,4.0,action
2vfL9h_KiJE_1,peon,7.0,profession
2w6c7g7ZPKo_1,labourer,9.0,profession
2wA4J_9FFIc_1,foot,7.0,biology
2yARXoO8Nrg_2,amount,8.0,metric
2yDcFJQ3t8Y,zebra crossing,6.0,transport
2yJXBFhvqk0_1,shop,6.0,action
2yqiuXXxZ3Y_1,cheque postdated,12.0,banking
2zv3MpREUNA,private secretaryps,14.0,profession
3-JaJnYcae8_1,durga,6.0,religious
30OIyeGhcQM,swallow,7.0,biology
31IAr_rm054_1,face,7.0,biology
31l98A8z-h4,sikhism,4.0,religious
32OshNWYUgE_1,evening,7.0,time
32SWjSJrL0s_1,spot exchange,8.0,banking
33mc9fTI8tE_1,goods,10.0,utility item
33nznChivz8_1,hang,6.0,action
34UjBeye-E0_1,advertisement,7.0,internet
36-jdo8Gt4o,sun,3.0,astronomical
37KfHOkm_mM_1,lnaugurate,7.0,process
37bLyyxKZKs,punish,4.0,action
37i_Xt_w0Rs,capable,6.0,attribute
37z5dnLqYms,ovi viviparous,15.0,biology
380a54uCumQ,bike suspension,9.0,machine
39tZrKjvdQM,hard,5.0,quality
3Azhh428me8,october,5.0,time
3BJDzOlCGcc_1,down,5.0,spatial position
3DOyNnKRg0c_1,tribal,8.0,group
3DSsRKPkiGI,nappy,6.0,utility item
3DVy0Znsfj0_1,title,12.0,attribute
3ETJPlFTcwk_1,spilt,7.0,action
3EU1DcenjJw,tripura,5.0,geography
3Eq8FeSFJpY,scan,5.0,action
3FY7bYQBJ8M,alcohol,4.0,foods and drinks
3FhNDV9UDzc,ruthless,5.0,behavior
3FlXNEmG6h0,lemon,5.0,foods and drinks
3GbJlbAKUy8_2,erect,6.0,attribute
3GlZqV3RSp0,jump,6.0,process
3HMUM-9pQj0,archery,4.0,sport
3I1fwIgGXv8,name,3.0,language
3I2-zG4Ymb4,force,4.0,physics
3IHHaKspcfA,pole vault,5.0,miscellaneous object
3KS9SiHwRVI,africa,4.0,geography
3L80qKk4daI_2,printed circuit board,11.0,electronic and electrical
3MeFx_eYZK0_1,under subscribed,7.0,banking
3MoTC6iB3xQ,organization,4.0,organisation
3MxE482U2Ns,pull someone's leg,3.0,action
3NIFg2ExoMs,scratch,5.0,action
3NPxIy6OXzg_1,drawer,8.0,construction
3NUcsb2W1OQ_1,tusks,6.0,biology
3OHkLPutuYM,legalese,15.0,legal
3RKj4XQRxkc_2,metal,9.0,metal and minerals
3Rn7sqmjgWo_2,osmosis,7.0,physics
3S1RLtVj7PE,sweater,4.0,wearable
3SBcHgw6wRM,minor,8.0,behavior
3SIXJfwYlFw,anniversary,9.0,event
3SRihi99gjc_1,home,8.0,geography
3SRqBpgSrqI_1,week,6.0,time
3SS49K8MK1w,belt loops,7.0,wearable
3T5RJ1_NFrM_1,milk,6.0,foods and drinks
3TNpBwr-Cxo_2,transformation of energy,9.0,physics
3TSVb2e1zJw_1,saturday,6.0,time
3UYC9939yQw_1,improve,5.0,time
3VP2rlxefJI,magnetic ink character recognition,15.0,computer
3VSNwJnUmdA,adobe acrobat reader,9.0,computer
3WEkK4AaiV4,kidney beans,6.0,foods and drinks
3X2TOqyDgv8,peas,4.0,foods and drinks
3X7DZIiH2ZQ,uzbekistan,4.0,geography
3XCX0YETmuk_1,sunday,6.0,time
3Y7KPnUv9kA,animals,4.0,flora and fauna
3aJtWIMsFx8,cpi,4.0,education
3bAW9KtLSXk,gardener,5.0,profession
3cluYDK8u08_1,acting,11.0,action
3cp85oNRRj8_1,tongs,6.0,instrument
3dJCO6ExmY0,real estate agent,6.0,profession
3e4K5QbywVc,ports tab,5.0,electronic and electrical
3fG2P5D8Jm0_1,open,6.0,action
3fKtgE9aQso,yesterday,3.0,time
3g-VyVR_iyU,nervous,4.0,emotion
3gymi4f7hps_1,lay off,8.0,banking
3h4uBHZ4J2Q_1,december,6.0,time
3hIkQEZ923Q_1,joumal entry,10.0,readable
3hTK036o_F4_1,group,9.0,group
3ir8Rnwx8TY,potato,4.0,foods and drinks
3jg1TpRzkGs,ear,5.0,biology
3kNaobravCU,office,3.0,organisation
3kbyPG13anw_1,tell,7.0,action
3lMNHGXNQ3Q,uganda,4.0,geography
3muHDD0neyo,warm,3.0,weather
3n8cKQOSZfM,semicircle,4.0,math
3ncXcBiwveA,magician,4.0,profession
3pZp4IFQCuA,parts,3.0,math
3ppf7DdzKvA,search,4.0,action
3pqDm0UKO14,first coat,10.0,wearable
3qKiJRMOzsc,watermelon,4.0,foods and drinks
3sX8OzIgyIc_2,capacity,11.0,quantity
3snObAxKXOQ,dress,3.0,wearable
3tFefLfXIn4_1,september,6.0,time
3uHfsQnqReY_1,bathroom,11.0,construction
3uW2Y--Yd9U,sand paper,14.0,utility item
3uyNF9yZCCw_1,sand,9.0,geography
3v5Id7dDttk,buddha purnima,6.0,religious
3vAxsFOJdVo,germany,4.0,geography
3vXJ605MFbU,maybe,3.0,language
3wKsYea6rfs_1,wood,7.0,miscellaneous object
3wgPDtFtXWE_1,waive,5.0,action
3xKJDf869EY,value,3.0,attribute
3y-nQO6e5iQ,go air,5.0,organisation
3y4vcRJBNs0,restart,6.0,action
3yRZjuvtEd0_1,arm,8.0,biology
3ymIgijDrC0,owl,5.0,flora and fauna
3zXseLcBn4A_1,entertainment,5.0,entertainment
3zbf5Y2id1U_2,universe,12.0,astronomical
4--6iRQ6-7A,amazon,5.0,organisation
4-LrYNRVVZk_1,delete,8.0,action
4-d6EGJjZNk,travel,4.0,action
40AA6WkT-Ys_2,centrifugal,14.0,physics
413unEDKRXQ,dwarf,6.0,attribute
41OGaqeAUMg,glass block,9.0,substance
42CmhRt0ANs_2,electric charge,9.0,physics
42cPzLjkVEs_1,statement of account,9.0,banking
44mCQaeKBVw,last month,5.0,time
44ueVmAA5W4,acceptance letter,6.0,education
46-lhzhJf78,praise,4.0,action
461WaV7kRxw_1,sky,6.0,abstract
46EMlBxuYAU,tailor,5.0,profession
46eCCVvkyIc,jawaharlal nehru,4.0,human
46tD7Du6BNs,measuring tape,5.0,instrument
48ODiLP2VgA,summary,5.0,education
49bdeG9jPdM,nematode control,15.0,biology
49c0qMhaE20,hydraulic sprayer,10.0,utility item
4AMULo6htKw,disconnect,7.0,action
4ANEdd5HfAs,withdraw money from bank,6.0,banking
4BBTQpBwAXw_1,rectification,8.0,chemistry
4BNqHj-lQaE,list,5.0,readable
4C5snSNt79Q_1,hours,6.0,time
4CrR5m-eSIs,ring spanner,11.0,instrument
4EihrPe_PfY,recent,5.0,time
4FQuX9bwT2I,flower for medical importance,10.0,flora and fauna
4FldxWjLykY,arunachal pradesh,4.0,geography
4GH0wBiRfX4_1,security continuing,10.0,legal
4HMKoVmJQ0E_1,key,7.0,utility item
4I-jm9Ng7YU_1,minimum,9.0,comparator
4ILXbXTUUp4,periods,3.0,biology
4IR40ptGTIU_1,rat,6.0,flora and fauna
4Irn82ukR2M_1,post card,8.0,readable
4J5r3KmJCPU_1,follow,8.0,action
4JLkY7vGCHM_1,typist,6.0,profession
4JPQ0EUdcbg,repair,4.0,action
4K-4FU5l7cY_1,time,6.0,time
4KOdh-2oe8Y,cop,6.0,profession
4KjtR4PwJVM_1,differential rate of interest,11.0,banking
4KttVgLezuY_1,mysore,7.0,geography
4LM1k8KifiY,situation,4.0,time
4LndvMQ2dO0,weightlifting,3.0,sport
4MB7jUMQvac,autumn,10.0,time
4MDuw5Pj-94_1,balance closing,10.0,banking
4NzoLuGTigs,electric bus,13.0,transport
4OMY6uJx-O4_1,fresh,8.0,quality
4Os2Hh06GPc_1,earth,8.0,geography
4P7EFM3C4MM,smog,15.0,chemistry
4QdYqEbZu8Q,recently,5.0,time
4QkxfvOC3go_1,how much,6.0,quantity
4Qm7AgT_VKg_1,income tax,8.0,banking
4RBAWNsG8Hk_1,geometry,8.0,math
4RNnYGS3E34_1,feather,7.0,flora and fauna
4RTN56hfFTM_2,nuclear reactor,13.0,physics
4Ruem9NXrqw_1,std,9.0,medical
4SRWa0Z5c8Q,hollow blocks,10.0,construction
4TLvls1tSgA_1,company,10.0,organisation
