uid,gloss,duration,category,video_path,official_partition
-E1n5hTjako_1,compact disc,8.0,computer,CISLR_v1.5-a_videos/-E1n5hTjako_1.mp4,prototype
-EGNTwA_sEE_1,land acquisition,9.0,legal,CISLR_v1.5-a_videos/-EGNTwA_sEE_1.mp4,prototype
-Em79Yvwac4_1,think,7.0,action,CISLR_v1.5-a_videos/-Em79Yvwac4_1.mp4,prototype
-F7HjAaemJU,sexual reproduction,13.0,biology,CISLR_v1.5-a_videos/-F7HjAaemJU.mp4,prototype
-HOXFEzH00I_1,circus,6.0,entertainment,CISLR_v1.5-a_videos/-HOXFEzH00I_1.mp4,prototype
-H_VzAnfyKk,coconut,4.0,foods and drinks,CISLR_v1.5-a_videos/-H_VzAnfyKk.mp4,prototype
-I0sjwzg0tY_2,amplitude,15.0,physics,CISLR_v1.5-a_videos/-I0sjwzg0tY_2.mp4,prototype
-IInvCVJXas,mushroom production,7.0,process,CISLR_v1.5-a_videos/-IInvCVJXas.mp4,prototype
-IKgn_mGZrw_2,immiscibility,8.0,attribute,CISLR_v1.5-a_videos/-IKgn_mGZrw_2.mp4,prototype
-It9bwqowig,twitter,4.0,internet,CISLR_v1.5-a_videos/-It9bwqowig.mp4,prototype
-JYukZxN6wQ_1,ugly,7.0,quality,CISLR_v1.5-a_videos/-JYukZxN6wQ_1.mp4,prototype
-JcpfOHc0nE,blood pressure,6.0,medical,CISLR_v1.5-a_videos/-JcpfOHc0nE.mp4,prototype
-Jr9EZz7Epo_1,eclipse,7.0,event,CISLR_v1.5-a_videos/-Jr9EZz7Epo_1.mp4,prototype
-Lnou_Pop1o,reservation,13.0,group,CISLR_v1.5-a_videos/-Lnou_Pop1o.mp4,prototype
-MS1EdYqs48,gujarat,5.0,geography,CISLR_v1.5-a_videos/-MS1EdYqs48.mp4,prototype
-MjxNEvHUFw,rollerpaint,8.0,instrument,CISLR_v1.5-a_videos/-MjxNEvHUFw.mp4,prototype
-N-gNuk_5PQ_1,unencumbered,8.0,banking,CISLR_v1.5-a_videos/-N-gNuk_5PQ_1.mp4,prototype
-NAB02gnpgo,polo shrit,6.0,wearable,CISLR_v1.5-a_videos/-NAB02gnpgo.mp4,prototype
-NCwiz-skM0_1,lame,7.0,biology,CISLR_v1.5-a_videos/-NCwiz-skM0_1.mp4,prototype
-NIz596Y27Q,severally,7.0,quantity,CISLR_v1.5-a_videos/-NIz596Y27Q.mp4,prototype
-NIz596Y27Q_1,severally,7.0,quantity,CISLR_v1.5-a_videos/-NIz596Y27Q_1.mp4,test
-NQKa7Pmhx4,nine,4.0,math,CISLR_v1.5-a_videos/-NQKa7Pmhx4.mp4,prototype
-NXGOOSb2sk,increase,5.0,comparator,CISLR_v1.5-a_videos/-NXGOOSb2sk.mp4,prototype
-NpA8OS_Oj0_1,tennis,6.0,sport,CISLR_v1.5-a_videos/-NpA8OS_Oj0_1.mp4,prototype
-Oq_e89164c_1,deer,7.0,flora and fauna,CISLR_v1.5-a_videos/-Oq_e89164c_1.mp4,prototype
-PFwmd8NQgI_1,fixed rate,7.0,banking,CISLR_v1.5-a_videos/-PFwmd8NQgI_1.mp4,prototype
-PGXFLhDfS0_1,teacher,6.0,profession,CISLR_v1.5-a_videos/-PGXFLhDfS0_1.mp4,prototype
-QF3_AuexYY,yolk,8.0,foods and drinks,CISLR_v1.5-a_videos/-QF3_AuexYY.mp4,prototype
-R02rqkyxHc_1,can,6.0,attribute,CISLR_v1.5-a_videos/-R02rqkyxHc_1.mp4,prototype
-RTVD5tM__A_1,hot,6.0,sensation,CISLR_v1.5-a_videos/-RTVD5tM__A_1.mp4,prototype
-SVSp2VtfRw_1,tired,7.0,sensation,CISLR_v1.5-a_videos/-SVSp2VtfRw_1.mp4,prototype
-Sbg5dqo9cQ_1,undertaking,10.0,legal,CISLR_v1.5-a_videos/-Sbg5dqo9cQ_1.mp4,prototype
-Tfg5XTzi0c_1,complaint,7.0,process,CISLR_v1.5-a_videos/-Tfg5XTzi0c_1.mp4,prototype
-UjDGBnJuQE,basic,5.0,quality,CISLR_v1.5-a_videos/-UjDGBnJuQE.mp4,prototype
-V3IfRctpxQ_1,kilometer,7.0,metric,CISLR_v1.5-a_videos/-V3IfRctpxQ_1.mp4,prototype
-VvuJx-TroA_1,day after,6.0,time,CISLR_v1.5-a_videos/-VvuJx-TroA_1.mp4,prototype
-W13ICFg13E,calendar year,12.0,time,CISLR_v1.5-a_videos/-W13ICFg13E.mp4,prototype
-WuiIyEI6JU_1,prospectus,7.0,utility item,CISLR_v1.5-a_videos/-WuiIyEI6JU_1.mp4,prototype
-XHIq_olkt0,ripe,5.0,quality,CISLR_v1.5-a_videos/-XHIq_olkt0.mp4,prototype
-ZJNHmctH-g_2,neutral,10.0,physics,CISLR_v1.5-a_videos/-ZJNHmctH-g_2.mp4,prototype
-_axtLgdFao_1,diaeases,8.0,medical,CISLR_v1.5-a_videos/-_axtLgdFao_1.mp4,prototype
-_ecaCc5kEM_1,par - above,8.0,comparator,CISLR_v1.5-a_videos/-_ecaCc5kEM_1.mp4,prototype
-_ozohdfbV0,arrest,3.0,legal,CISLR_v1.5-a_videos/-_ozohdfbV0.mp4,prototype
-ayQ9-eEVPk,rafter,15.0,construction,CISLR_v1.5-a_videos/-ayQ9-eEVPk.mp4,prototype
-bUi5WuO58M_1,negligence,9.0,attribute,CISLR_v1.5-a_videos/-bUi5WuO58M_1.mp4,prototype
-cw3ySwZG-0_1,trouble,7.0,stage,CISLR_v1.5-a_videos/-cw3ySwZG-0_1.mp4,prototype
-erR2LqPMDo_1,insects,7.0,flora and fauna,CISLR_v1.5-a_videos/-erR2LqPMDo_1.mp4,prototype
-i21y0g32n8,family tree,14.0,group,CISLR_v1.5-a_videos/-i21y0g32n8.mp4,prototype
-i5XH3VNyZc_1,cobbler,7.0,profession,CISLR_v1.5-a_videos/-i5XH3VNyZc_1.mp4,prototype
-j9UB4-TMdw,blouse,6.0,wearable,CISLR_v1.5-a_videos/-j9UB4-TMdw.mp4,prototype
-js9xT4ze2M_1,difference,8.0,comparator,CISLR_v1.5-a_videos/-js9xT4ze2M_1.mp4,prototype
-kAnMQUsNqY,cancel,5.0,action,CISLR_v1.5-a_videos/-kAnMQUsNqY.mp4,prototype
-kNkN1zSAfc,sometimes,4.0,abstract,CISLR_v1.5-a_videos/-kNkN1zSAfc.mp4,prototype
-mGXVBz8pfs_1,criticize,6.0,action,CISLR_v1.5-a_videos/-mGXVBz8pfs_1.mp4,prototype
-nITY8LhYgc,iron,5.0,metal and minerals,CISLR_v1.5-a_videos/-nITY8LhYgc.mp4,prototype
-ntsKq84BZI_2,statlonary wave,10.0,physics,CISLR_v1.5-a_videos/-ntsKq84BZI_2.mp4,prototype
-oJL0D3n2e0,best,3.0,quality,CISLR_v1.5-a_videos/-oJL0D3n2e0.mp4,prototype
-oLpcbfuNIc_2,speclfic heat,8.0,physics,CISLR_v1.5-a_videos/-oLpcbfuNIc_2.mp4,prototype
-oy6L89CeWU_1,cry,7.0,behavior,CISLR_v1.5-a_videos/-oy6L89CeWU_1.mp4,prototype
-p-Uj-p_Gso,see you tomorrow,4.0,greeting,CISLR_v1.5-a_videos/-p-Uj-p_Gso.mp4,prototype
-pH80nLq8FY,table tennis,5.0,sport,CISLR_v1.5-a_videos/-pH80nLq8FY.mp4,prototype
-pOaEEbLhEY_1,invent,6.0,process,CISLR_v1.5-a_videos/-pOaEEbLhEY_1.mp4,prototype
-pc9BOR8QtA,panaji,4.0,geography,CISLR_v1.5-a_videos/-pc9BOR8QtA.mp4,prototype
-qAGBp1JAh4_1,ruler,6.0,utility item,CISLR_v1.5-a_videos/-qAGBp1JAh4_1.mp4,prototype
-qEvxlqG6xs_1,taxable,9.0,legal,CISLR_v1.5-a_videos/-qEvxlqG6xs_1.mp4,prototype
-qhN2FaYkUc,anonymous,4.0,abstract,CISLR_v1.5-a_videos/-qhN2FaYkUc.mp4,prototype
-qzWfnV26kw_1,with,6.0,abstract,CISLR_v1.5-a_videos/-qzWfnV26kw_1.mp4,prototype
-rahbCV2Pp4,understand,4.0,action,CISLR_v1.5-a_videos/-rahbCV2Pp4.mp4,prototype
-rwYVwVdHns_1,trust deed,8.0,banking,CISLR_v1.5-a_videos/-rwYVwVdHns_1.mp4,prototype
-s7h4Re7Atk_1,residence,9.0,construction,CISLR_v1.5-a_videos/-s7h4Re7Atk_1.mp4,prototype
-syzD8b7Uog,fork,5.0,utility item,CISLR_v1.5-a_videos/-syzD8b7Uog.mp4,prototype
-tXNpnzr08M,hack saw blade,7.0,instrument,CISLR_v1.5-a_videos/-tXNpnzr08M.mp4,prototype
-vcgtHff_po,motivate,4.0,action,CISLR_v1.5-a_videos/-vcgtHff_po.mp4,prototype
-wpVNpcGvFk,yellow flowered plants,11.0,attribute,CISLR_v1.5-a_videos/-wpVNpcGvFk.mp4,prototype
-x6DzWY7lmk,united nations,5.0,organisation,CISLR_v1.5-a_videos/-x6DzWY7lmk.mp4,prototype
-x6oHEcUExQ,subtract,4.0,math,CISLR_v1.5-a_videos/-x6oHEcUExQ.mp4,prototype
-xNmG6y1-9E,air vistara,6.0,transport,CISLR_v1.5-a_videos/-xNmG6y1-9E.mp4,prototype
-y-dWznF2js_1,rough,7.0,sensation,CISLR_v1.5-a_videos/-y-dWznF2js_1.mp4,prototype
0-pxIcGvk3w,brown,7.0,attribute,CISLR_v1.5-a_videos/0-pxIcGvk3w.mp4,prototype
01THMylW6Mw,lok janshakti party,4.0,politics,CISLR_v1.5-a_videos/01THMylW6Mw.mp4,prototype
01UZKDp47Ao_1,boil,6.0,action,CISLR_v1.5-a_videos/01UZKDp47Ao_1.mp4,prototype
039-5dIML0I_2,depth,9.0,attribute,CISLR_v1.5-a_videos/039-5dIML0I_2.mp4,prototype
03N4I9dc3RQ_1,spendthrift,7.0,action,CISLR_v1.5-a_videos/03N4I9dc3RQ_1.mp4,prototype
03UqtTd9opc,pani puri,5.0,foods and drinks,CISLR_v1.5-a_videos/03UqtTd9opc.mp4,prototype
04qLwQo-2MM,what is your name,4.0,abstract,CISLR_v1.5-a_videos/04qLwQo-2MM.mp4,prototype
06C4S0EBhBg_1,average,9.0,math,CISLR_v1.5-a_videos/06C4S0EBhBg_1.mp4,prototype
06FBQEEqthQ_1,seizure,10.0,medical,CISLR_v1.5-a_videos/06FBQEEqthQ_1.mp4,prototype
06lnhzFJMgo,idle talk,4.0,process,CISLR_v1.5-a_videos/06lnhzFJMgo.mp4,prototype
06tYXs9inPk_1,branch,6.0,flora and fauna,CISLR_v1.5-a_videos/06tYXs9inPk_1.mp4,test
07jCt4FqQxY,method,5.0,math,CISLR_v1.5-a_videos/07jCt4FqQxY.mp4,prototype
08E4Dr0zyKk_2,difference,7.0,comparator,CISLR_v1.5-a_videos/08E4Dr0zyKk_2.mp4,test
08z_-ESgSP0,bucket,5.0,utility item,CISLR_v1.5-a_videos/08z_-ESgSP0.mp4,prototype
09G-3IZyKrI_1,judge,6.0,authority,CISLR_v1.5-a_videos/09G-3IZyKrI_1.mp4,prototype
09qovLrSjow_1,whale,8.0,flora and fauna,CISLR_v1.5-a_videos/09qovLrSjow_1.mp4,prototype
0AH93vop9YA_1,frock,8.0,wearable,CISLR_v1.5-a_videos/0AH93vop9YA_1.mp4,prototype
0AUmueBrflo,notesheet,5.0,utility item,CISLR_v1.5-a_videos/0AUmueBrflo.mp4,prototype
0AW9acHJhNI,bharatiya janata party,3.0,politics,CISLR_v1.5-a_videos/0AW9acHJhNI.mp4,prototype
0BC8wWXW_wc,driver,5.0,profession,CISLR_v1.5-a_videos/0BC8wWXW_wc.mp4,prototype
0BOyMqB1KUQ_1,accommodation,11.0,construction,CISLR_v1.5-a_videos/0BOyMqB1KUQ_1.mp4,prototype
0C-nMsdpftw,designer,11.0,profession,CISLR_v1.5-a_videos/0C-nMsdpftw.mp4,prototype
0CUyYc1R3OA,colombia,4.0,geography,CISLR_v1.5-a_videos/0CUyYc1R3OA.mp4,prototype
0CvaaVM5mNs,leaders,14.0,authority,CISLR_v1.5-a_videos/0CvaaVM5mNs.mp4,prototype
0DYb-qL1t0A,tomorrow,3.0,time,CISLR_v1.5-a_videos/0DYb-qL1t0A.mp4,prototype
0DYcaZmhlkY,weather,7.0,weather,CISLR_v1.5-a_videos/0DYcaZmhlkY.mp4,prototype
0E2yd3OjjsU,movie,4.0,entertainment,CISLR_v1.5-a_videos/0E2yd3OjjsU.mp4,prototype
0EQEGldp9YA_1,footpath,7.0,construction,CISLR_v1.5-a_videos/0EQEGldp9YA_1.mp4,prototype
0ETSwMTLaac_2,attractive force,9.0,physics,CISLR_v1.5-a_videos/0ETSwMTLaac_2.mp4,prototype
0F7sYNf4uxU,put,4.0,action,CISLR_v1.5-a_videos/0F7sYNf4uxU.mp4,prototype
0FHckg-WrEo,diving,5.0,sport,CISLR_v1.5-a_videos/0FHckg-WrEo.mp4,prototype
0F_szwrQs1g_2,artificial,8.0,abstract,CISLR_v1.5-a_videos/0F_szwrQs1g_2.mp4,prototype
0G7Xo4NN4fk,polisher,14.0,profession,CISLR_v1.5-a_videos/0G7Xo4NN4fk.mp4,prototype
0GYeM3IGjn8_1,school bus,6.0,transport,CISLR_v1.5-a_videos/0GYeM3IGjn8_1.mp4,prototype
0HNvZZloffc_1,light,6.0,quantity,CISLR_v1.5-a_videos/0HNvZZloffc_1.mp4,prototype
0IF3Nx6idPQ_1,zonal,9.0,geography,CISLR_v1.5-a_videos/0IF3Nx6idPQ_1.mp4,prototype
0IQ02IKMzUk_1,torch,7.0,electronic and electrical,CISLR_v1.5-a_videos/0IQ02IKMzUk_1.mp4,prototype
0IhvPwnhGOg,national capital region,5.0,geography,CISLR_v1.5-a_videos/0IhvPwnhGOg.mp4,prototype
0JIsxA88oss_2,grey,9.0,colour,CISLR_v1.5-a_videos/0JIsxA88oss_2.mp4,prototype
0Kcn-1OPd84,reverse,3.0,abstract,CISLR_v1.5-a_videos/0Kcn-1OPd84.mp4,prototype
0KeSJQiRAgo_1,coolie,6.0,profession,CISLR_v1.5-a_videos/0KeSJQiRAgo_1.mp4,prototype
0LXJqXx8dVU,sari,4.0,wearable,CISLR_v1.5-a_videos/0LXJqXx8dVU.mp4,prototype
0N47JPzl2Ow_1,adjustment,11.0,metric,CISLR_v1.5-a_videos/0N47JPzl2Ow_1.mp4,prototype
0NMbSbEZ7G8_1,disappear,5.0,action,CISLR_v1.5-a_videos/0NMbSbEZ7G8_1.mp4,prototype
0NPpa4rNMoI_1,input,8.0,process,CISLR_v1.5-a_videos/0NPpa4rNMoI_1.mp4,prototype
0NUyw07V03g,promotion,4.0,organisation,CISLR_v1.5-a_videos/0NUyw07V03g.mp4,prototype
0O7xxbvMct0,institution,7.0,organisation,CISLR_v1.5-a_videos/0O7xxbvMct0.mp4,prototype
0OMlCdUKFSg,backdoor,4.0,miscellaneous object,CISLR_v1.5-a_videos/0OMlCdUKFSg.mp4,prototype
0OxY1muGJhc,godet,14.0,wearable,CISLR_v1.5-a_videos/0OxY1muGJhc.mp4,prototype
0PKQWh0-C8o,slip,4.0,action,CISLR_v1.5-a_videos/0PKQWh0-C8o.mp4,prototype
0PQM_cS1Jyg_1,funny,7.0,sensation,CISLR_v1.5-a_videos/0PQM_cS1Jyg_1.mp4,prototype
0PwKF0pTwpg,receipt,6.0,banking,CISLR_v1.5-a_videos/0PwKF0pTwpg.mp4,prototype
0QITb6bNnHc,hearing,4.0,sound,CISLR_v1.5-a_videos/0QITb6bNnHc.mp4,prototype
0Qk8-_ZEmHM_2,precaution,7.0,abstract,CISLR_v1.5-a_videos/0Qk8-_ZEmHM_2.mp4,prototype
0R6qq874H4c,propeller pump,15.0,instrument,CISLR_v1.5-a_videos/0R6qq874H4c.mp4,prototype
0REGTy6eqSc,team,4.0,group,CISLR_v1.5-a_videos/0REGTy6eqSc.mp4,prototype
0RIpHMSqV4c,bank of maharashtra,4.0,banking,CISLR_v1.5-a_videos/0RIpHMSqV4c.mp4,prototype
0RiCicL3Zg8_1,interest,9.0,banking,CISLR_v1.5-a_videos/0RiCicL3Zg8_1.mp4,prototype
0RlsG9iQ6rk_1,window dressing,8.0,banking,CISLR_v1.5-a_videos/0RlsG9iQ6rk_1.mp4,prototype
0TGJCFJv2iU,mahavir jayanti,4.0,event,CISLR_v1.5-a_videos/0TGJCFJv2iU.mp4,prototype
0ThvAhpHsDM,squirrel,4.0,flora and fauna,CISLR_v1.5-a_videos/0ThvAhpHsDM.mp4,prototype
0UyMbBSxbM4,minority,4.0,group,CISLR_v1.5-a_videos/0UyMbBSxbM4.mp4,prototype
0VSRJo2xZfI,breeds of poultry,11.0,flora and fauna,CISLR_v1.5-a_videos/0VSRJo2xZfI.mp4,prototype
0VvmrIYSsR0_1,marth,6.0,human,CISLR_v1.5-a_videos/0VvmrIYSsR0_1.mp4,prototype
0Xhmme0IrvU,mature,13.0,behavior,CISLR_v1.5-a_videos/0Xhmme0IrvU.mp4,prototype
0YIk1iTjDVY_1,monday,6.0,time,CISLR_v1.5-a_videos/0YIk1iTjDVY_1.mp4,prototype
0ZMXZUybS9M_1,until,6.0,time,CISLR_v1.5-a_videos/0ZMXZUybS9M_1.mp4,prototype
0_3gIUNTp8U,translate,4.0,action,CISLR_v1.5-a_videos/0_3gIUNTp8U.mp4,prototype
0_aBnLgwYuk,backdate,4.0,time,CISLR_v1.5-a_videos/0_aBnLgwYuk.mp4,prototype
0_dU4pT_Ch4,conference,5.0,group,CISLR_v1.5-a_videos/0_dU4pT_Ch4.mp4,prototype
0cLdo9cL7y4,full stomach,5.0,sensation,CISLR_v1.5-a_videos/0cLdo9cL7y4.mp4,prototype
0dz5Em9gsjk,sacrifice,4.0,action,CISLR_v1.5-a_videos/0dz5Em9gsjk.mp4,prototype
0eCFVHc06YA_1,bell,5.0,miscellaneous object,CISLR_v1.5-a_videos/0eCFVHc06YA_1.mp4,prototype
0eNooDbmED4,oviparous,13.0,biology,CISLR_v1.5-a_videos/0eNooDbmED4.mp4,prototype
0egx6MUyz0w,exporting graphics,15.0,computer,CISLR_v1.5-a_videos/0egx6MUyz0w.mp4,prototype
0fKqgIRvg-8,jharkhand,5.0,geography,CISLR_v1.5-a_videos/0fKqgIRvg-8.mp4,prototype
0fO9xNyE9eU_1,obedience,7.0,behavior,CISLR_v1.5-a_videos/0fO9xNyE9eU_1.mp4,prototype
0fdRLmUIlZE_2,indigo,10.0,colour,CISLR_v1.5-a_videos/0fdRLmUIlZE_2.mp4,prototype
0ggPraT35p0,ranveer singh,4.0,human,CISLR_v1.5-a_videos/0ggPraT35p0.mp4,prototype
0hEQ8ufcIQU,amritsar,4.0,geography,CISLR_v1.5-a_videos/0hEQ8ufcIQU.mp4,prototype
0hZluINun1Y,paraguay,3.0,geography,CISLR_v1.5-a_videos/0hZluINun1Y.mp4,prototype
0hhs7A5uf3E,vision,4.0,abstract,CISLR_v1.5-a_videos/0hhs7A5uf3E.mp4,prototype
0hkuayZghpM_1,circle,11.0,math,CISLR_v1.5-a_videos/0hkuayZghpM_1.mp4,prototype
0i1qCUd3BdM_1,increase,8.0,comparator,CISLR_v1.5-a_videos/0i1qCUd3BdM_1.mp4,test
0ijcVXYEvY8_2,tldal energy,9.0,physics,CISLR_v1.5-a_videos/0ijcVXYEvY8_2.mp4,prototype
0klM2u7dV9M,aam aadmi party,4.0,politics,CISLR_v1.5-a_videos/0klM2u7dV9M.mp4,prototype
0kr-oJWV_wI_2,circular motion,11.0,physics,CISLR_v1.5-a_videos/0kr-oJWV_wI_2.mp4,prototype
0lrX7s_3ScY,bowled out,4.0,sport,CISLR_v1.5-a_videos/0lrX7s_3ScY.mp4,prototype
0ly7tC51g_o_1,sundry debtors,9.0,group,CISLR_v1.5-a_videos/0ly7tC51g_o_1.mp4,prototype
0msmxYxchSc,meditate,7.0,action,CISLR_v1.5-a_videos/0msmxYxchSc.mp4,prototype
0nJrw8f2FLs_1,scold,6.0,action,CISLR_v1.5-a_videos/0nJrw8f2FLs_1.mp4,prototype
0nVI2GBhbUQ_1,particulars,10.0,attribute,CISLR_v1.5-a_videos/0nVI2GBhbUQ_1.mp4,prototype
0n_FeKAXjUI,manage,4.0,action,CISLR_v1.5-a_videos/0n_FeKAXjUI.mp4,prototype
0oJ_jMGRJCE,roof garden,8.0,construction,CISLR_v1.5-a_videos/0oJ_jMGRJCE.mp4,prototype
0oWHR36xnT8_1,this,5.0,relation,CISLR_v1.5-a_videos/0oWHR36xnT8_1.mp4,prototype
0p_iET-2TRw,pencil,4.0,utility item,CISLR_v1.5-a_videos/0p_iET-2TRw.mp4,test
0q7mwfrGneM_1,monday,5.0,time,CISLR_v1.5-a_videos/0q7mwfrGneM_1.mp4,test
0qDR-9wAiXk,diesel,6.0,transport,CISLR_v1.5-a_videos/0qDR-9wAiXk.mp4,prototype
0rN_yoKLCRw_1,vault,10.0,banking,CISLR_v1.5-a_videos/0rN_yoKLCRw_1.mp4,prototype
0sE5EMDNsDo,sorry,3.0,greeting,CISLR_v1.5-a_videos/0sE5EMDNsDo.mp4,prototype
0t5NaJwemgI_1,mother,9.0,relation,CISLR_v1.5-a_videos/0t5NaJwemgI_1.mp4,prototype
0tUzIPQ31n8_1,drop,6.0,action,CISLR_v1.5-a_videos/0tUzIPQ31n8_1.mp4,prototype
0uvuluJqqAM,listen,3.0,action,CISLR_v1.5-a_videos/0uvuluJqqAM.mp4,prototype
0vbtRdb9zTI_2,telephone,7.0,electronic and electrical,CISLR_v1.5-a_videos/0vbtRdb9zTI_2.mp4,prototype
0vx6xWIEP_0_1,night,6.0,time,CISLR_v1.5-a_videos/0vx6xWIEP_0_1.mp4,prototype
0wB165T8JuA,dirndl  skirt,13.0,wearable,CISLR_v1.5-a_videos/0wB165T8JuA.mp4,prototype
0wY8TKOu5z0_1,audiologist,7.0,profession,CISLR_v1.5-a_videos/0wY8TKOu5z0_1.mp4,prototype
0xVWH6F3Fz0,lose,4.0,sport,CISLR_v1.5-a_videos/0xVWH6F3Fz0.mp4,prototype
0xrgLBuhXG0,milter hat,8.0,wearable,CISLR_v1.5-a_videos/0xrgLBuhXG0.mp4,prototype
0xxg0V8sb3w_1,audit,10.0,banking,CISLR_v1.5-a_videos/0xxg0V8sb3w_1.mp4,prototype
0ykPPmSC3Wk,box pleats,6.0,wearable,CISLR_v1.5-a_videos/0ykPPmSC3Wk.mp4,prototype
0zTZkTkBAoU,world federation of the deaf youth section,4.0,organisation,CISLR_v1.5-a_videos/0zTZkTkBAoU.mp4,prototype
0zqOg8HwQiM,ball bearing,13.0,machine,CISLR_v1.5-a_videos/0zqOg8HwQiM.mp4,prototype
1-Zz07NcsKM,eleven,4.0,math,CISLR_v1.5-a_videos/1-Zz07NcsKM.mp4,prototype
1-wpwyfm1Mg_1,angry,7.0,emotion,CISLR_v1.5-a_videos/1-wpwyfm1Mg_1.mp4,prototype
10KuxOH6cYM_1,interest,7.0,behavior,CISLR_v1.5-a_videos/10KuxOH6cYM_1.mp4,test
11derBixy2I_1,day,5.0,time,CISLR_v1.5-a_videos/11derBixy2I_1.mp4,prototype
12zIYqZt4m8_1,person,9.0,human,CISLR_v1.5-a_videos/12zIYqZt4m8_1.mp4,prototype
14AboByr9GE_1,kind,8.0,behavior,CISLR_v1.5-a_videos/14AboByr9GE_1.mp4,prototype
14yNmnzY7X0_1,legal,8.0,legal,CISLR_v1.5-a_videos/14yNmnzY7X0_1.mp4,prototype
16P4ngMXeLM,4g,3.0,internet,CISLR_v1.5-a_videos/16P4ngMXeLM.mp4,prototype
17ar03dZ7bQ_1,security,9.0,legal,CISLR_v1.5-a_videos/17ar03dZ7bQ_1.mp4,prototype
17sdVu62Og4,cut  line,12.0,instrument,CISLR_v1.5-a_videos/17sdVu62Og4.mp4,prototype
181pBJw-eWg,july,4.0,time,CISLR_v1.5-a_videos/181pBJw-eWg.mp4,prototype
18NS94mBGS4,grow,5.0,time,CISLR_v1.5-a_videos/18NS94mBGS4.mp4,prototype
18Os6IiQRes_2,metre,8.0,metric,CISLR_v1.5-a_videos/18Os6IiQRes_2.mp4,prototype
18Wi03A6brU,national,4.0,geography,CISLR_v1.5-a_videos/18Wi03A6brU.mp4,prototype
18bO_HQbsF4_1,hurt,5.0,sensation,CISLR_v1.5-a_videos/18bO_HQbsF4_1.mp4,prototype
18f9RKQp4zw,resign,4.0,action,CISLR_v1.5-a_videos/18f9RKQp4zw.mp4,prototype
18hKLmAVIMg_1,june,6.0,time,CISLR_v1.5-a_videos/18hKLmAVIMg_1.mp4,prototype
1AId61ylQL0,v neck,9.0,wearable,CISLR_v1.5-a_videos/1AId61ylQL0.mp4,prototype
1B-XlHxT32g_1,parents,10.0,relation,CISLR_v1.5-a_videos/1B-XlHxT32g_1.mp4,prototype
